parameter,,logP,logP,logP
statistic,,mean,median,std
dataset,model,,,
bao.desi_2024_bao_all+des_y1.joint,Alcdm,-2.074595147756485,-2.0789287453285965,0.1313199961870848
bao.desi_2024_bao_all+des_y1.joint,klcdm,-1.8528497611454058,-1.8505283603242617,0.12728589397073828
bao.desi_2024_bao_all+des_y1.joint,lcdm,-1.569748440318948,-1.5624703414401608,0.11845404774657686
bao.desi_2024_bao_all+des_y1.joint,mlcdm,-1.3724903646615758,-1.3695796813098013,0.11128227146618981
bao.desi_2024_bao_all+des_y1.joint,nrunlcdm,-2.557921605936508,-2.5559649295612417,0.13856073676062614
bao.desi_2024_bao_all+des_y1.joint,rlcdm,-2.122068903461118,-2.116849344910463,0.1360701413116494
bao.desi_2024_bao_all+des_y1.joint,walcdm,-4.800911749163805,-4.801329796555706,0.1544343340694891
bao.desi_2024_bao_all+des_y1.joint,wlcdm,-3.1518603347145726,-3.1532662955377475,0.14897993130639442
bao.desi_2024_bao_all+planck_2018_CamSpec,Alcdm,-2.265418219950786,-2.265490492549361,0.19689450477530088
bao.desi_2024_bao_all+planck_2018_CamSpec,klcdm,-5.023826930798253,-5.022766177499761,0.21139671487549033
bao.desi_2024_bao_all+planck_2018_CamSpec,lcdm,-0.8422798288394706,-0.8352116740406927,0.1153371929654144
bao.desi_2024_bao_all+planck_2018_CamSpec,mlcdm,-3.477158369254849,-3.4763779002237243,0.20445602350593622
bao.desi_2024_bao_all+planck_2018_CamSpec,nrunlcdm,-5.167808346404568,-5.169420871136936,0.20101702194304466
bao.desi_2024_bao_all+planck_2018_CamSpec,rlcdm,-4.632621559096367,-4.634544770816319,0.20845414944358542
bao.desi_2024_bao_all+planck_2018_CamSpec,walcdm,-1.2171202165505437,-1.2155211026615689,0.14784640469658775
bao.desi_2024_bao_all+planck_2018_CamSpec,wlcdm,-2.2485304570390956,-2.2453324438638447,0.18208442586217194
bao.desi_2024_bao_all+planck_2018_CamSpec_nolens,Alcdm,-1.1424327149416604,-1.1390582279291266,0.14656910897571354
bao.desi_2024_bao_all+planck_2018_CamSpec_nolens,klcdm,-4.773638584108919,-4.7706416761175205,0.20286422632184353
bao.desi_2024_bao_all+planck_2018_CamSpec_nolens,lcdm,-1.1044680336130759,-1.1006618854235057,0.1409861703944798
bao.desi_2024_bao_all+planck_2018_CamSpec_nolens,mlcdm,-4.365764137819368,-4.358632645035868,0.20405650087640453
bao.desi_2024_bao_all+planck_2018_CamSpec_nolens,nrunlcdm,-5.947450572121641,-5.942894820996571,0.21364785176764192
bao.desi_2024_bao_all+planck_2018_CamSpec_nolens,rlcdm,-4.49617247464808,-4.496150111804127,0.20850763549791906
bao.desi_2024_bao_all+planck_2018_CamSpec_nolens,walcdm,-1.5963817396275044,-1.5887011388422252,0.17213567601671725
bao.desi_2024_bao_all+planck_2018_CamSpec_nolens,wlcdm,-2.3034289624240536,-2.3069236040014403,0.1846357771483874
bao.desi_2024_bao_all+planck_2018_lensing,Alcdm,-1.9177236670731832,-1.9140543023732324,0.08914194385496212
bao.desi_2024_bao_all+planck_2018_lensing,klcdm,-3.2819871366138686,-3.2803607355528346,0.10919222488494937
bao.desi_2024_bao_all+planck_2018_lensing,lcdm,-1.598149530514088,-1.5963495110671744,0.08575431836603663
bao.desi_2024_bao_all+planck_2018_lensing,mlcdm,-1.1986175979679443,-1.1993055539213167,0.07366358685623749
bao.desi_2024_bao_all+planck_2018_lensing,nrunlcdm,-3.693458298547397,-3.6914010296188717,0.10529248416185512
bao.desi_2024_bao_all+planck_2018_lensing,rlcdm,-1.4447130860292818,-1.4452794157531184,0.08387151196112465
bao.desi_2024_bao_all+planck_2018_lensing,walcdm,-4.291149538514102,-4.289589983967504,0.1124925954347829
bao.desi_2024_bao_all+planck_2018_lensing,wlcdm,-3.3923613537863293,-3.394059248142323,0.10535378042350216
bao.desi_2024_bao_all+planck_2018_plik,Alcdm,-2.2516536563021283,-2.2414411599519326,0.19962763407570192
bao.desi_2024_bao_all+planck_2018_plik,klcdm,-4.712169295924697,-4.7140761762992724,0.214477904384178
bao.desi_2024_bao_all+planck_2018_plik,lcdm,-1.1710401705420637,-1.1679870428157528,0.14846143232625786
bao.desi_2024_bao_all+planck_2018_plik,mlcdm,-3.8910236869590142,-3.897638241955633,0.22106065067036737
bao.desi_2024_bao_all+planck_2018_plik,nrunlcdm,-5.436235353553064,-5.428050645006351,0.21194781921829353
bao.desi_2024_bao_all+planck_2018_plik,rlcdm,-4.795635733287166,-4.7968443966823315,0.21563724438717918
bao.desi_2024_bao_all+planck_2018_plik,walcdm,-1.146831364215575,-1.1409655542126984,0.15140450533073052
bao.desi_2024_bao_all+planck_2018_plik,wlcdm,-1.5521636701301673,-1.5454167598533104,0.17236416137233104
bao.desi_2024_bao_all+planck_2018_plik_nolens,Alcdm,-0.30529676832815406,-0.3002189959192947,0.059261661636484976
bao.desi_2024_bao_all+planck_2018_plik_nolens,klcdm,-5.759480891806288,-5.755451009846979,0.24112605392536332
bao.desi_2024_bao_all+planck_2018_plik_nolens,lcdm,-2.2241613805875713,-2.219610276484673,0.21798545318443235
bao.desi_2024_bao_all+planck_2018_plik_nolens,mlcdm,-5.439940901596307,-5.440447321644683,0.24413071321436447
bao.desi_2024_bao_all+planck_2018_plik_nolens,nrunlcdm,-6.295033991421113,-6.297270913598709,0.23758453474400557
bao.desi_2024_bao_all+planck_2018_plik_nolens,rlcdm,-6.13458759020772,-6.129866098661523,0.247552058735951
bao.desi_2024_bao_all+planck_2018_plik_nolens,walcdm,-2.27071950923787,-2.2673149097166743,0.2224990804959026
bao.desi_2024_bao_all+planck_2018_plik_nolens,wlcdm,-3.4244190311466944,-3.4250947329164774,0.2262878803828848
bao.desi_2024_bao_all+sn.desdovekie,Alcdm,-2.0522400889771304,-2.0523567655753823,0.06643925400862576
bao.desi_2024_bao_all+sn.desdovekie,klcdm,-1.505300499826399,-1.5054661523427626,0.060605614214117726
bao.desi_2024_bao_all+sn.desdovekie,lcdm,-2.027775729523956,-2.0249638871420643,0.06538354932760274
bao.desi_2024_bao_all+sn.desdovekie,mlcdm,-1.8045620830558042,-1.8073595344837372,0.06244527483170963
bao.desi_2024_bao_all+sn.desdovekie,nrunlcdm,-1.993623229953854,-1.9935404463839177,0.063018121452529
bao.desi_2024_bao_all+sn.desdovekie,rlcdm,-1.9293053791206967,-1.9288750722660097,0.06577322846124505
bao.desi_2024_bao_all+sn.desdovekie,walcdm,-3.394019980761642,-3.392265685154996,0.08793470348379155
bao.desi_2024_bao_all+sn.desdovekie,wlcdm,-3.316551127943737,-3.3146935866292324,0.08106886220671805
bao.desi_2024_bao_all+sn.desy5,Alcdm,-2.5974000139563196,-2.5997113440272983,0.06853944461906165
bao.desi_2024_bao_all+sn.desy5,klcdm,-1.2297788454218366,-1.2286501795260847,0.05702766166946877
bao.desi_2024_bao_all+sn.desy5,lcdm,-2.5606501166787243,-2.561087219254034,0.07072840529509145
bao.desi_2024_bao_all+sn.desy5,mlcdm,-2.620402231093334,-2.621791300023574,0.07123646165487109
bao.desi_2024_bao_all+sn.desy5,nrunlcdm,-2.5741085934608154,-2.5739782324868656,0.06887823104896251
bao.desi_2024_bao_all+sn.desy5,rlcdm,-2.632491528938659,-2.634289982880887,0.0716703048986068
