parameter,,logP,logP,logP
statistic,,mean,median,std
dataset,model,,,
bao.desi_2024_bao_all,Alcdm,-1.8203512956741983,-1.820714911901118,0.059921063011187846
bao.desi_2024_bao_all,klcdm,-2.487113765550768,-2.4870985985500136,0.06751807360418753
bao.desi_2024_bao_all,lcdm,-1.769906564155508,-1.7680806035580927,0.06105544347890058
bao.desi_2024_bao_all,mlcdm,-1.6242920867337496,-1.6244045661306075,0.057730561795511275
bao.desi_2024_bao_all,nrunlcdm,-1.7911975348573972,-1.7897268173635457,0.05951428220360476
bao.desi_2024_bao_all,rlcdm,-1.8354126524372765,-1.8340986050157921,0.06174974660156718
bao.desi_2024_bao_all,walcdm,-3.4049085500086944,-3.4014332924803172,0.08131414422311567
bao.desi_2024_bao_all,wlcdm,-3.6476586874158956,-3.649617478897069,0.0775732501574442
bao.desi_dr2,Alcdm,-1.8145246247993823,-1.8136485178278354,0.06411247893427303
bao.desi_dr2,klcdm,-3.4019805299711026,-3.4027264307439733,0.07908435166965744
bao.desi_dr2,lcdm,-1.6604792386790597,-1.6614491303597596,0.06136054526158198
bao.desi_dr2,mlcdm,-1.6973707311146682,-1.6997908489264715,0.0642916560285977
bao.desi_dr2,nrunlcdm,-1.7836189853211253,-1.7826427230520112,0.06778991770165693
bao.desi_dr2,rlcdm,-1.6533369902666417,-1.6535586056364098,0.0607978595467741
bao.desi_dr2,walcdm,-3.1205516346396736,-3.1178786709935435,0.08669844908217561
bao.desi_dr2,wlcdm,-3.6960225661223096,-3.696607148413377,0.08613352067202297
des_y1.joint,Alcdm,-1.8037623025123748,-1.80388855332356,0.12450520206306194
des_y1.joint,klcdm,-1.345335832149421,-1.344939552450569,0.11035003851708743
des_y1.joint,lcdm,-1.8462687721162685,-1.8399825672586303,0.12248800366377799
des_y1.joint,mlcdm,-2.202885806163824,-2.19652998474254,0.12579653780168695
des_y1.joint,nrunlcdm,-2.95129189740735,-2.950361443978352,0.13847253706096538
des_y1.joint,rlcdm,-1.8124520181188317,-1.8089480025150237,0.12317806551551168
des_y1.joint,walcdm,-3.3835228859145325,-3.384866776275743,0.14570774415299778
des_y1.joint,wlcdm,-3.0033267838798237,-3.0025097145837094,0.136747229400383
planck_2018_CamSpec,Alcdm,-4.630740900402742,-4.634704049439279,0.2115291901953133
planck_2018_CamSpec,klcdm,-3.7283549493462513,-3.730252833623126,0.21441771556657524
planck_2018_CamSpec,lcdm,-1.6542099454583503,-1.6540158140860513,0.17183780801749726
planck_2018_CamSpec,mlcdm,-4.014525321909269,-4.0151673501809455,0.21288328596197892
planck_2018_CamSpec,nrunlcdm,-6.2619042698322716,-6.266073624319233,0.22509301403399634
planck_2018_CamSpec,rlcdm,-5.110107698397239,-5.110671522957091,0.21822726588454047
planck_2018_CamSpec,walcdm,-1.0896683089849422,-1.0883657214526465,0.14661450497527947
planck_2018_CamSpec,wlcdm,-0.9126083319560967,-0.9043038954987423,0.13048633723072464
planck_2018_CamSpec_nolens,Alcdm,-3.143904473552936,-3.137372534601127,0.19593312476016672
planck_2018_CamSpec_nolens,klcdm,-2.080308487467615,-2.075972302010541,0.18491845369374327
planck_2018_CamSpec_nolens,lcdm,-1.9801743087394843,-1.976544329328135,0.18006535131142584
planck_2018_CamSpec_nolens,mlcdm,-4.321806817669658,-4.324311308481811,0.21040826519077882
planck_2018_CamSpec_nolens,nrunlcdm,-6.25079105369822,-6.252330907641863,0.21024825358882573
planck_2018_CamSpec_nolens,rlcdm,-5.768750192433645,-5.764835069458513,0.20987622313744939
planck_2018_CamSpec_nolens,walcdm,-1.2322922008361474,-1.2244229553921286,0.15413344855324218
planck_2018_CamSpec_nolens,wlcdm,-0.9895027933339816,-0.9859749447691684,0.1309994624478147
planck_2018_lensing,Alcdm,-1.9940958666617807,-1.9960206932608866,0.07311724887883028
planck_2018_lensing,klcdm,-2.1693181361691654,-2.170629657443877,0.07676339492553667
planck_2018_lensing,lcdm,-1.5603709147671716,-1.559455766502694,0.07002326136939686
planck_2018_lensing,mlcdm,-2.202896021274145,-2.2050631334749067,0.07875856671132662
planck_2018_lensing,nrunlcdm,-3.6780958074803167,-3.678645043106994,0.08554886979235723
planck_2018_lensing,rlcdm,-1.749369987757903,-1.7472921602673237,0.07324986463848926
planck_2018_lensing,walcdm,-2.3320243988464515,-2.3267864003729093,0.08085739051876717
planck_2018_lensing,wlcdm,-2.040004246812008,-2.0395920673916104,0.0737667410496954
planck_2018_plik,Alcdm,-4.72434833245656,-4.729763696661848,0.22317737981497865
planck_2018_plik,klcdm,-4.466399500182222,-4.46790485357235,0.22920243279870356
planck_2018_plik,lcdm,-1.8856808620016126,-1.8744618727162106,0.20319439255929614
planck_2018_plik,mlcdm,-5.237455840762115,-5.236064446957471,0.22635089004721848
planck_2018_plik,nrunlcdm,-6.199006574957455,-6.198137830006317,0.23024220784046673
planck_2018_plik,rlcdm,-6.349326376866607,-6.349379143301235,0.2335510241715929
planck_2018_plik,walcdm,-0.9837758940226068,-0.9705235682024522,0.14066962635042185
planck_2018_plik,wlcdm,-0.8348007799590864,-0.830275686721734,0.12588942309127582
planck_2018_plik_nolens,Alcdm,-3.0703816180840806,-3.074594734096877,0.20655042093855913
planck_2018_plik_nolens,klcdm,-1.2534379324033644,-1.246070356373366,0.16562435168026504
planck_2018_plik_nolens,lcdm,-3.1115160564908164,-3.1091486625936113,0.21644372370377318
planck_2018_plik_nolens,mlcdm,-5.759693328982072,-5.751172046301008,0.22832445007340174
planck_2018_plik_nolens,nrunlcdm,-7.083420203707067,-7.08934333713762,0.22434308784025175
planck_2018_plik_nolens,rlcdm,-6.682551824662227,-6.690771914384072,0.21565988970945751
planck_2018_plik_nolens,walcdm,-1.515157423696579,-1.504864139788424,0.17447560788920521
planck_2018_plik_nolens,wlcdm,-0.9528401096680982,-0.9491240221451562,0.13483099783458707
sn.desdovekie,Alcdm,-1.9434818221610002,-1.9428919902805433,0.042322724507224754
sn.desdovekie,klcdm,-1.9651561995540023,-1.9644553398428002,0.04294227667265375
sn.desdovekie,lcdm,-1.869934819358698,-1.8694538230788567,0.03971956552237916
sn.desdovekie,mlcdm,-1.8928185520642367,-1.8938394025540788,0.04217408186041615
sn.desdovekie,nrunlcdm,-1.8468435965535577,-1.846651053908829,0.0401639534902038
sn.desdovekie,rlcdm,-1.8091522239210351,-1.8096559618568904,0.04000558511959803
sn.desdovekie,walcdm,-2.952439068208194,-2.9535532267120743,0.06048028689906939
sn.desdovekie,wlcdm,-3.2910546761537107,-3.2885272878917817,0.05756930180607627
sn.desy5,Alcdm,-1.9031979719203145,-1.9037535816388527,0.03984445650402707
sn.desy5,klcdm,-2.02096004679888,-2.023098485537446,0.044337629847287195
sn.desy5,lcdm,-1.9224231124603135,-1.9217967418655917,0.040469820644827986
sn.desy5,mlcdm,-2.00623757356451,-2.005768506046877,0.04073332535337286
sn.desy5,nrunlcdm,-1.8830810033361276,-1.8815135477667582,0.042326138403662686
sn.desy5,rlcdm,-1.8783847740139148,-1.8771028886295085,0.03988319881006259
sn.desy5,walcdm,-2.5223529568838945,-2.5190011468509397,0.05900531071529204
sn.desy5,wlcdm,-2.966994505968495,-2.9668232271240527,0.05307674813353661
sn.pantheonplus,Alcdm,-1.843448744501949,-1.842057388503747,0.041242527344924514
