parameter,,logP,logP,logP
statistic,,mean,median,std
dataset,model,,,
bao.desi_2024_bao_all+planck_2018_CamSpec+sn.pantheonplus,Alcdm,-2.5354191429489075,-2.538204618019336,0.2199145463567726
bao.desi_2024_bao_all+planck_2018_CamSpec+sn.pantheonplus,klcdm,-3.664560057307358,-3.6637203490754473,0.2298164778161832
bao.desi_2024_bao_all+planck_2018_CamSpec+sn.pantheonplus,lcdm,-0.3226663691733865,-0.3173969028657666,0.0553154595980911
bao.desi_2024_bao_all+planck_2018_CamSpec+sn.pantheonplus,mlcdm,-3.377684518881593,-3.3726074040318963,0.2175089633283939
bao.desi_2024_bao_all+planck_2018_CamSpec+sn.pantheonplus,nrunlcdm,-5.099498672374319,-5.104232514356681,0.2256626533483609
bao.desi_2024_bao_all+planck_2018_CamSpec+sn.pantheonplus,rlcdm,-4.519411827232619,-4.522745400171516,0.2201134557304415
bao.desi_2024_bao_all+planck_2018_CamSpec+sn.pantheonplus,walcdm,-2.3868766370842924,-2.37956519971749,0.2080456877997522
bao.desi_2024_bao_all+planck_2018_CamSpec+sn.pantheonplus,wlcdm,-3.8900603838819614,-3.881531630956943,0.2255547907103013
bao.desi_2024_bao_all+planck_2018_CamSpec+sn.union3,Alcdm,-3.99198323065704,-3.996985430052973,0.2179906804229187
bao.desi_2024_bao_all+planck_2018_CamSpec+sn.union3,klcdm,-5.530300510717109,-5.532296552543357,0.226904738095523
bao.desi_2024_bao_all+planck_2018_CamSpec+sn.union3,lcdm,-0.9333317218184748,-0.928094822125786,0.1469925908208318
bao.desi_2024_bao_all+planck_2018_CamSpec+sn.union3,mlcdm,-4.644069204607316,-4.650670811106011,0.2200752209997047
bao.desi_2024_bao_all+planck_2018_CamSpec+sn.union3,nrunlcdm,-5.862742730987783,-5.869533978813252,0.2182570487589681
bao.desi_2024_bao_all+planck_2018_CamSpec+sn.union3,rlcdm,-5.254217492184538,-5.253979885776971,0.2118157806211928
bao.desi_2024_bao_all+planck_2018_CamSpec+sn.union3,walcdm,-0.6013622795983292,-0.5917756643493703,0.1079938351439745
bao.desi_2024_bao_all+planck_2018_CamSpec+sn.union3,wlcdm,-4.605245155204245,-4.6024623914181575,0.2187463509507559
bao.desi_2024_bao_all+planck_2018_plik+sn.desdovekie,Alcdm,-2273.705982568538,-2273.7161862176436,0.21890750823876629
bao.desi_2024_bao_all+planck_2018_plik+sn.desdovekie,klcdm,-2276.385358609804,-2276.3807008558515,0.21783566102993027
bao.desi_2024_bao_all+planck_2018_plik+sn.desdovekie,lcdm,-2272.797904068253,-2272.79792038663,0.205590386355559
bao.desi_2024_bao_all+planck_2018_plik+sn.desdovekie,mlcdm,-2275.6282404805743,-2275.62595699929,0.22463641745760918
bao.desi_2024_bao_all+planck_2018_plik+sn.desdovekie,nrunlcdm,-2275.723426665088,-2275.7165464269788,0.2177395278646799
bao.desi_2024_bao_all+planck_2018_plik+sn.desdovekie,rlcdm,-2276.198198287273,-2276.198642353478,0.21256117974628033
bao.desi_2024_bao_all+planck_2018_plik+sn.desdovekie,walcdm,-2272.34810314572,-2272.342061365297,0.22729220665852665
bao.desi_2024_bao_all+planck_2018_plik+sn.desdovekie,wlcdm,-2275.149993622751,-2275.148984181227,0.2255016453665758
bao.desi_2024_bao_all+planck_2018_plik+sn.pantheonplus,Alcdm,-2.651261956965788,-2.6532039289147638,0.2314557222249265
bao.desi_2024_bao_all+planck_2018_plik+sn.pantheonplus,klcdm,-4.539594378112974,-4.5366455271166615,0.247053781720683
bao.desi_2024_bao_all+planck_2018_plik+sn.pantheonplus,lcdm,-0.2030252503478286,-0.1991318539644453,0.0389638109494698
bao.desi_2024_bao_all+planck_2018_plik+sn.pantheonplus,mlcdm,-4.004252373739633,-4.001149543049223,0.2529054666984268
bao.desi_2024_bao_all+planck_2018_plik+sn.pantheonplus,nrunlcdm,-5.051277417345378,-5.041538644140019,0.2494762349935499
bao.desi_2024_bao_all+planck_2018_plik+sn.pantheonplus,rlcdm,-4.840001654707197,-4.83336289569138,0.2472956372701164
bao.desi_2024_bao_all+planck_2018_plik+sn.pantheonplus,walcdm,-3.023426420395661,-3.0292407372753587,0.2427162471283692
bao.desi_2024_bao_all+planck_2018_plik+sn.pantheonplus,wlcdm,-4.16490053575885,-4.168042499272133,0.2457601349389455
bao.desi_2024_bao_all+planck_2018_plik+sn.union3,Alcdm,-3.1302703486580223,-3.13891466995608,0.2384035793231662
bao.desi_2024_bao_all+planck_2018_plik+sn.union3,klcdm,-5.451275560103363,-5.442825854373382,0.2480536976943839
bao.desi_2024_bao_all+planck_2018_plik+sn.union3,lcdm,-2.071802109742577,-2.0628816373193786,0.2210225044049799
bao.desi_2024_bao_all+planck_2018_plik+sn.union3,mlcdm,-5.203823391830992,-5.198828027220657,0.2461815760860741
bao.desi_2024_bao_all+planck_2018_plik+sn.union3,nrunlcdm,-6.025559362392411,-6.02751585280771,0.2394219486052483
bao.desi_2024_bao_all+planck_2018_plik+sn.union3,rlcdm,-5.946850541815238,-5.9517290147283575,0.2441003419739629
bao.desi_2024_bao_all+planck_2018_plik+sn.union3,walcdm,-0.2167779327659886,-0.2123327412230082,0.0452933055031493
bao.desi_2024_bao_all+planck_2018_plik+sn.union3,wlcdm,-5.365392485568191,-5.35943475697627,0.248545764368119
bao.desi_dr2+planck_2018_CamSpec+sn.desdovekie,Alcdm,-6147.4960674358645,-6147.500680687153,0.19999082462528533
bao.desi_dr2+planck_2018_CamSpec+sn.desdovekie,klcdm,-6149.971058647476,-6149.96957613368,0.19254346233312625
bao.desi_dr2+planck_2018_CamSpec+sn.desdovekie,lcdm,-6146.273731183641,-6146.272477791917,0.18203445159289247
bao.desi_dr2+planck_2018_CamSpec+sn.desdovekie,mlcdm,-6149.333153480648,-6149.340937301151,0.2003024529324828
bao.desi_dr2+planck_2018_CamSpec+sn.desdovekie,nrunlcdm,-6149.08090297636,-6149.086850602503,0.19568771689144562
bao.desi_dr2+planck_2018_CamSpec+sn.desdovekie,rlcdm,-6150.178903137673,-6150.178207881166,0.19275713226983462
bao.desi_dr2+planck_2018_CamSpec+sn.desdovekie,walcdm,-6146.285752470618,-6146.284710369769,0.200550010150613
bao.desi_dr2+planck_2018_CamSpec+sn.desdovekie,wlcdm,-6149.805603332043,-6149.803898130686,0.19850076292942778
bao.desi_dr2+planck_2018_CamSpec+sn.desy5,Alcdm,-5.498242799901661,-5.501842532562023,0.2700221615082037
bao.desi_dr2+planck_2018_CamSpec+sn.desy5,klcdm,-7.001347916779307,-7.004573673521918,0.2667020612678906
bao.desi_dr2+planck_2018_CamSpec+sn.desy5,lcdm,-3.377900713583137,-3.382002468808423,0.2513652720098048
bao.desi_dr2+planck_2018_CamSpec+sn.desy5,mlcdm,-6.971681062640554,-6.974053609621024,0.2706239453068567
bao.desi_dr2+planck_2018_CamSpec+sn.desy5,nrunlcdm,-8.373234103600982,-8.35770936428844,0.2648783085712656
bao.desi_dr2+planck_2018_CamSpec+sn.desy5,rlcdm,-7.514069020544824,-7.519554267167678,0.258872695431419
bao.desi_dr2+planck_2018_CamSpec+sn.desy5,walcdm,-0.0453721597118747,-0.0441334960842141,0.0107623528329506
bao.desi_dr2+planck_2018_CamSpec+sn.desy5,wlcdm,-6.187326506898196,-6.181402995072403,0.2656918016662239
