,logR,logI,logS,d_G,p,sigma
labels,$\ln\mathcal{R}$,$\log\mathcal{I}$,$\ln\mathcal{S}$,$d_\mathrm{G}$,$p$,$\sigma$
samples,,,,,,
0,6.542247615586286,6.155753636689214,0.3864939788973061,3.046254468539093,0.5262583035359749,0.6337280687967666
1,6.951586887014338,6.544279697562596,0.40730718945178523,1.8713969410198672,0.5572158492034578,0.5869819204541534
2,7.241626588587161,6.706094814075685,0.5355317745115826,2.8087325146112505,0.5923109614532522,0.5354901579986457
3,7.0187876862157115,6.609983592508003,0.40880409370765847,1.6886965938608505,0.5662306871046262,0.5736115603844272
4,6.475857210328224,6.112645640161746,0.36321157016664074,2.069340542833636,0.5276676978185949,0.6315703015823066
5,6.312228469295343,5.932607145355584,0.37962132394000037,2.3505655813385005,0.5310739159458926,0.6263675085740131
6,7.266789945676175,6.651422601991927,0.6153673436842837,3.04894285726078,0.6200077524043068,0.4958393602080843
7,7.320290851934653,6.8113741404725605,0.5089167114620068,2.367543877422527,0.5941152536290153,0.5328820180289235
8,6.712594808315254,6.18427716593685,0.5283176423783971,1.7262305357010987,0.6476229852743733,0.4570668656993707
9,6.470093427300464,5.964168882235926,0.5059245450647722,2.7713698418375508,0.5801186627652424,0.5532113983957861
10,6.822397946555549,6.455187760989441,0.3672101855663641,1.385320666080279,0.5545654397146023,0.5909328122292519
11,7.08722470718538,6.828875269090121,0.2583494380951379,1.3921313727262188,0.4777624868072414,0.7099059075264491
12,6.3567851169929614,6.184214063461328,0.1725710535320104,1.4291417759910239,0.4276248163591003,0.7932626441030531
13,6.913529087709259,6.406165254959058,0.5073638327501158,2.2834955794098164,0.5966776242895437,0.5291842746639861
14,6.89861498391627,6.434110476726284,0.4645045071899858,1.6632321778345478,0.6064193728335896,0.5151912643268838
15,6.900336911364713,6.573493856864696,0.3268430544999319,1.3331502987909722,0.5267154844655733,0.6330278069088154
16,7.228341675826352,6.9503620226992755,0.2779796531272041,2.5429277487489266,0.4852665035465764,0.6978571991254102
17,6.487626974082952,5.998147427129249,0.4894795469535893,2.32895318761512,0.5855638585303462,0.5452757810257982
18,7.155469437557878,6.734247459326314,0.4212219782316424,2.4232035465800372,0.5493444023610372,0.5987428134140326
19,6.567783702878097,5.928302568056035,0.6394811348222902,2.076936715578583,0.68889377088561,0.40035675529754156
20,6.323985122072537,5.761946198900576,0.56203892317194,1.9339291852356695,0.651022369469019,0.4523423525089216
21,6.671595894277454,6.3743873168739515,0.2972085774035804,1.9590884668822177,0.49546227264193055,0.6816468663339927
22,6.459481140195686,6.060604987458598,0.3988761527373299,2.3097656147352055,0.5409294455900682,0.6114080939304007
23,6.534489715655747,6.089766538582795,0.44472317707300135,2.8660720263621187,0.5518032160772657,0.5950602229608116
24,6.2447765591440945,5.956037222655661,0.2887393364885611,0.9095499158756652,0.5256553927819052,0.6346520198177383
25,6.637577448670919,6.149138751327699,0.4884386973428718,1.5502262958162945,0.6365259539918969,0.47256164210146934
26,7.1161548597269135,6.633263213896628,0.4828916458302501,2.1556815139099115,0.5888449217528714,0.5405106450961945
27,7.040119370916438,6.6136160043266745,0.42650336658971355,2.4340730623914304,0.5516102099223908,0.5953489979203248
28,7.109686689929896,6.805948975547723,0.30373771438212316,1.8283644108995105,0.499955647778084,0.6745595370677617
