,logR,logI,logS,d_G,p,sigma
labels,$\ln\mathcal{R}$,$\log\mathcal{I}$,$\ln\mathcal{S}$,$d_\mathrm{G}$,$p$,$\sigma$
samples,,,,,,
0,3.034884350195466,4.053457079894397,-1.018572729698974,2.170988828506319,0.13988818945588394,1.4762075272149673
1,3.885989086611812,4.8997659955865664,-1.0137769089747621,3.6489204518663367,0.1882979967939042,1.3156307817417345
2,3.614387888875069,4.493212665716495,-0.8788247768414976,3.2523661352033315,0.19814059778335716,1.286867147352694
3,3.8933330013506517,4.735487072952029,-0.8421540716013283,3.6629116899878422,0.2155613556663136,1.2384173364853466
4,3.70558894145081,4.6108474664809265,-0.905258525030149,3.8311573775172167,0.2096088245620404,1.254641793257856
5,3.512518304330922,4.514298402671752,-1.0017800983408733,2.4432352424411548,0.1526732632396054,1.4301524711382838
6,3.250131352662049,4.3336074832748395,-1.0834761306127803,2.9052177398493946,0.1570310461608914,1.4151277400774376
7,4.090788983029835,4.933088653621606,-0.8422996705917853,2.8676768964064685,0.1920997369005544,1.3043926589106933
8,3.568594117582006,4.518864912320947,-0.9502707947389695,2.895652027740999,0.17589325930454902,1.3535084282620633
9,3.2327179883564097,4.272720943602948,-1.040002955246564,2.23795619027792,0.1396372711035874,1.4771431420849646
10,3.4223538831141807,4.449112972810639,-1.0267590896964407,2.782122950951356,0.16094775977609918,1.4018911294531848
11,3.559145609156712,4.571410288153466,-1.0122646789967007,2.5687842701030608,0.15571783067988906,1.4196217473002348
12,3.4852090136289573,4.517654590527776,-1.0324455768987946,3.155139989436565,0.17181267795819852,1.3664024572669875
13,3.9333194076094284,4.948139836641882,-1.0148204290324543,3.6198082694397,0.18737952843270278,1.3183708665921265
14,3.47860161931585,4.456849118146042,-0.9782474988301715,2.5752589036999307,0.16083745801585123,1.4022605440411693
15,3.5441887921330815,4.55240379171936,-1.0082149995862437,2.5732155309160145,0.1564488441840461,1.4171165855876655
16,3.1178970219340383,4.098119734829563,-0.9802227128955678,2.561287910520475,0.16005152869094197,1.4048982781197072
17,3.3535965055155086,4.322114791766435,-0.9685182862509123,2.556141257791843,0.16157929985852618,1.3997796956738346
18,3.88456132537176,4.816796248023188,-0.9322349226514461,3.8052722937193764,0.20470339022742126,1.268264835632708
19,3.236975735982196,4.308141934146086,-1.071166198163894,2.4391467647069938,0.14300405273202027,1.4646953552844453
20,4.041023883860031,4.687360949920251,-0.6463370660601981,4.0624923396446775,0.25999229550939246,1.1264093392674708
21,3.4973285960355835,4.442720986244698,-0.9453923902091219,2.7666136905751078,0.1723622053641185,1.3646527868211498
22,3.4205321837091103,4.481858947402774,-1.0613267636936712,2.557623899462593,0.14852925848687465,1.4447459482863934
23,3.896370142562841,4.800426798244381,-0.9040566556815293,3.0254284603292056,0.18720130178992986,1.318903721684254
24,3.478195636828343,4.603546839876966,-1.1253512030485808,2.9052686647813246,0.15142522272177106,1.434515452154562
25,3.5985799288858513,4.621982190225836,-1.0234022613399816,2.44080496572084,0.14955293446018622,1.4411123875252358
26,3.5869271420310267,4.667283816307759,-1.080356674276743,2.6872638393426485,0.1503882858486102,1.438161324998043
27,3.7172164578694376,4.718354005215904,-1.0011375473465023,3.0489780155711053,0.1731471966079181,1.3621606329551315
28,3.56767014077634,4.5143309470342,-0.946660806257853,2.574184060432154,0.16547252294340356,1.3868991308006977
