,logR,logI,logS,d_G,p,sigma
labels,$\ln\mathcal{R}$,$\log\mathcal{I}$,$\ln\mathcal{S}$,$d_\mathrm{G}$,$p$,$\sigma$
samples,,,,,,
0,4.7530766285028445,6.4383519671928635,-1.6852753386901895,2.7156231437198244,0.0877677881179333,1.7072920226118398
1,4.747812519748527,6.2899932664659755,-1.5421807467175768,2.903794698624047,0.10503655958375502,1.6209117823784978
2,5.046569232329352,6.666081490509518,-1.619512258180066,2.148183359249181,0.07727051880351182,1.7667475343191397
3,4.525106726678791,6.188010095875326,-1.662903369196556,2.34232311379386,0.07953785630675045,1.7533738518886814
4,4.98561467023203,6.462455025854089,-1.4768403556220164,2.476105140861101,0.09901687132447676,1.6496386189190342
5,4.49579176698237,6.202956339131616,-1.7071645721491677,1.7289956060199927,0.05879179438577821,1.8897470789029394
6,4.438136062498165,6.358055769019435,-1.9199197065213411,2.07978894551335,0.05590112753960545,1.9118056444352094
7,5.020119227307282,6.52273473331236,-1.502615506004986,2.848227040003877,0.10725616825059857,1.610649363007458
8,5.025810843404292,6.75397902090546,-1.7281681775011748,2.206067119687706,0.07105885768338299,1.8051011338614702
9,5.022864535474104,6.499276145382401,-1.4764116099086095,2.137407430930864,0.08853680755026211,1.7031670686394296
10,4.634929530253634,6.355067371572742,-1.7201378413192288,1.9545430697772872,0.06457101146205327,1.8482166240617484
11,4.886301379437077,6.531918394086778,-1.6456170146498152,2.218111213019636,0.07733800256765057,1.7663449030624099
12,4.998023924810672,6.598029858948861,-1.600005934138153,3.2200109762585427,0.10777885570267502,1.60825722070989
13,4.710196975584017,6.558526684591916,-1.8483297090076576,1.0705381401519354,0.03228387624886358,2.140878018077132
14,4.654296274145031,6.480803182052531,-1.8265069079075147,1.5900614532320283,0.04808906665252116,1.9765805131154732
15,5.357528010694727,6.792193804890649,-1.4346657941962349,2.8054861948057273,0.11271262054362012,1.586117664190844
16,5.145438066667543,6.698419863845428,-1.5529817971778357,3.3596550535595,0.11563110299119388,1.5733789291841533
17,4.564858056698517,6.297497559889292,-1.7326395031907396,2.183898353027235,0.07014621308558079,1.8109653655536706
18,4.4202172203481265,6.0531401458432565,-1.6329229254952224,2.443801741108512,0.08468360088839862,1.724134302284034
19,4.645435712045787,6.362235244725289,-1.716799532679488,1.7636691264031867,0.05923319370628807,1.8864585150248703
20,5.150637840055856,6.9489263794633,-1.7982885394073946,2.8353111446707793,0.08206155677070348,1.7388476939918216
21,4.936724009419526,6.562002639993755,-1.6252786305742575,2.475219547893772,0.08616677130993655,1.7159741635222514
22,5.18011524533083,6.814451448471052,-1.6343362031400375,2.549790658081342,0.08748030578789688,1.708841539727185
23,5.540989457958608,7.192084899788716,-1.6510954418301935,3.326266671266904,0.10570944779760075,1.6177826451342718
24,4.625225442609667,6.390894396388502,-1.7656689537789134,3.59310762949265,0.10181570582104951,1.6361141187925343
25,5.165602806466927,6.805760037048158,-1.6401572305810532,2.046107387167549,0.07272378274182706,1.7945603026242567
26,4.6430247671594085,6.351505438096664,-1.708480670937206,1.37793342914145,0.047905734299660774,1.978203675186908
27,4.619763395521181,6.1605913191959,-1.5408279236746694,1.8144850805939932,0.07277095990887365,1.7942645097935965
28,4.835734134922381,6.672765907382816,-1.8370317724604774,1.6014094997875468,0.04786922120971409,1.9785275727932297
