,logR,logI,logS,d_G,p,sigma
labels,$\ln\mathcal{R}$,$\log\mathcal{I}$,$\ln\mathcal{S}$,$d_\mathrm{G}$,$p$,$\sigma$
samples,,,,,,
0,8.443274833823178,10.672044508256302,-2.2287696744333516,5.81781617885628,0.10411757453420498,1.6252111542426586
1,7.718601799534607,10.015674887830574,-2.297073088295292,5.392732489416792,0.09330512040621669,1.6782150722372124
2,8.123458245841956,10.393825707154075,-2.2703674613130715,5.259680663015265,0.09318709641346254,1.6788201699533738
3,8.001300477862113,10.325465868618824,-2.3241653907571163,5.5753483389243,0.09406206947323136,1.674348797368127
4,7.881498278656235,10.141418296591016,-2.2599200179347463,5.733426668318737,0.10070081810835171,1.6414655234215285
5,8.006042290704553,10.480830155735294,-2.4747878650314306,4.810377279820999,0.07404415605847799,1.7863404202142443
6,8.50815090977272,10.809751778915189,-2.301600869142021,6.347903047918859,0.10607557488703949,1.6160866744716447
7,8.27267920521086,10.747210402787385,-2.474531197577562,5.029834833956363,0.07710230575104848,1.7677523996693396
8,8.426671822709121,10.90447859020544,-2.4778067674960766,4.961925277799859,0.07597782169285718,1.7745160981891743
9,8.191966808736705,10.731247558965936,-2.5392807502284995,4.610330600010977,0.06774378040421898,1.826707364341965
10,8.502616166533752,10.892124690812633,-2.389508524278426,5.408190047388521,0.08747717812523897,1.708858420266703
11,7.705457070738756,10.219087419895278,-2.5136303491572107,4.827228206642971,0.07210957459740638,1.7984256907541647
12,7.77634552309706,10.025726013831811,-2.2493804907344384,5.227856128042378,0.09415222995105108,1.6738899487517425
13,8.421723634438475,10.69115367745702,-2.2694300430193834,5.479987156075518,0.09644033919863736,1.6623613717413217
14,7.61272699340503,10.074702766118836,-2.461975772713231,5.612510664098247,0.0857105260240353,1.718472172095039
15,7.8529225074772135,10.241584944033487,-2.388662436555933,5.4171508225763905,0.08765460593918221,1.7079015802208528
16,7.950084198922067,10.479342227675826,-2.5292580287550663,5.190821759471543,0.07614627709104428,1.7734976732956003
17,8.499007013092577,10.726746262858509,-2.2277392497671826,5.522432762656438,0.09997480302917926,1.6449757937528722
18,8.31269510985572,10.692149633448015,-2.379454523592358,4.938157669207023,0.08147269653629544,1.7422043303306045
19,8.110998390727271,10.449908789361256,-2.3389103986328337,5.126169632486263,0.08672525137036409,1.7129309075388124
20,8.696065824016895,10.79225791944857,-2.096192095432343,6.216722830559117,0.11986063364694957,1.5553588292559948
21,8.205886649559087,10.522432506638797,-2.3165458570792907,5.849104899496462,0.098354992234732,1.6528814543065782
22,7.921579070767674,10.402531422384971,-2.480952351617816,5.371416566454233,0.08135738132753023,1.7428639564975397
23,8.29054124820237,10.697029100202837,-2.406487852000282,5.244777352643844,0.0841488230424153,1.7271049151477906
24,8.405072877073561,10.79130486979086,-2.3862319927166027,4.6578347846824855,0.07698206841779627,1.7684717647863757
25,7.834598666396285,10.310718745717619,-2.4761200793209355,4.258442889781987,0.06609807514363805,1.8377579858288737
26,8.411223457625109,10.952609184750298,-2.541385727125089,5.083262278368167,0.07403569198501324,1.7863927295404796
27,7.745518762005357,10.212612982656967,-2.467094220652143,5.05791659847171,0.07792078744583213,1.7628796647771712
28,8.1141187640124,10.363010133970054,-2.248891369957164,5.600881629989418,0.0996033767387837,1.6467794987639797
29,7.854240567799987,10.180186230471445,-2.3259456626710744,5.218019279014568,0.0888857208313312,1.7013050466088135
