,logR,logI,logS,d_G,p,sigma
labels,$\ln\mathcal{R}$,$\log\mathcal{I}$,$\ln\mathcal{S}$,$d_\mathrm{G}$,$p$,$\sigma$
samples,,,,,,
0,5.266499916241198,7.399963828495192,-2.133463912255138,3.2280187851428614,0.06822481750019352,1.823519030201125
1,4.24321979382378,6.448584038901654,-2.205364245078272,2.624157261669575,0.05280307158670086,1.936527959482899
2,4.392333781608183,6.6531618138652355,-2.26082803225745,3.0323012452990152,0.05758433679649026,1.8988489672380586
3,4.69989691826461,6.904069373628705,-2.2041724553637323,2.388328284378181,0.048292927449673784,1.974781692949408
4,4.520792178035233,6.578365059579493,-2.057572881544729,2.8103250794160477,0.06444299443955985,1.8491026318375643
5,4.013686326765789,6.143557582482604,-2.1298712557163526,3.2652075161013716,0.06914203906970061,1.817490516768371
6,4.820117602493635,7.060864811221155,-2.240747208727953,2.547854541813221,0.04966076218961875,1.9628744677708763
7,4.073478042506874,6.31591631212174,-2.2424382696144676,2.4667526564735223,0.048050379261314724,1.9769226046819974
8,4.782522888655446,6.767898785873694,-1.985375897218546,2.812911853554848,0.06885584330015168,1.8193644716312343
9,4.904359900632269,7.088173022245076,-2.183813121613639,2.761250551410088,0.056520415424757116,1.9070013287645693
10,4.219503751118761,6.329389554173641,-2.1098858030554766,2.1356962691445016,0.04751404927722037,1.9816890878031048
11,4.4320175750222255,6.617599457000555,-2.185581881978578,1.9680571081233502,0.04070266555530898,2.0465461624160866
12,4.7734805173827475,6.9813056697825395,-2.207825152398982,3.570110570792055,0.07007021954757459,1.8114564824344024
13,4.657961093345445,6.813073996382652,-2.1551129030376615,2.474492701016027,0.052342344403802504,1.9403073850900117
14,4.364928702815202,6.588769778497909,-2.223841075682685,3.47749688792355,0.06750801259198554,1.828276848505796
15,4.515728805080041,6.608032665179355,-2.0923038600994914,3.270036855591931,0.07151834742274846,1.8021720071760918
16,4.409008647745875,6.5748423110969405,-2.165833663350895,3.0374745711629885,0.06275600570417902,1.8609162422299563
17,4.625389317508532,6.592096675377949,-1.9667073578693817,2.952380894451931,0.0730356937527606,1.7926075786196516
18,4.923528117934918,7.098707321396528,-2.1751792034610844,2.0862425994556233,0.04355212035390393,2.018375967423091
19,4.146042779488678,6.242323962618801,-2.096281183130486,2.862569290059014,0.06326952857827157,1.8572926568185995
20,4.671633421118283,6.779648933186085,-2.10801551206805,3.160438448482365,0.06844799052536348,1.8220461034995077
21,5.017194364525064,7.110826871753293,-2.0936325072289037,3.361572629435626,0.07319008874241328,1.7916435100360084
22,4.091746938231633,6.492286259345203,-2.400539321114593,1.8465705870864983,0.03069536699131803,2.1609996430106873
23,4.442094551607195,6.500866020178936,-2.058771468571649,3.733798032058555,0.08248241602804042,1.7364606516670433
24,4.222690368038027,6.2359054509983345,-2.0132150829604143,2.9470446567237794,0.06995960032922512,1.8121721535343511
25,4.340397854512528,6.536121354503759,-2.1957234999918,2.577357376285283,0.05237336508037013,1.9400520456040449
26,4.50977069977446,6.670435900356498,-2.160665200582116,3.0849559119200887,0.06394421815718483,1.8525685887198209
27,4.698555685917679,6.913654077873904,-2.215098391956417,2.223930197828267,0.04458220787692457,2.0085751594936108
28,4.452344155223297,6.47767832575688,-2.025334170532915,2.594695966109951,0.061765462963190194,1.8679756651247603
