,logR,logI,logS,d_G,p,sigma
labels,$\ln\mathcal{R}$,$\log\mathcal{I}$,$\ln\mathcal{S}$,$d_\mathrm{G}$,$p$,$\sigma$
samples,,,,,,
0,3.8399494245976067,3.8809416583134615,-0.04099223371588323,1.717707476150041,0.342163112415802,0.9498999103167953
1,3.725171961689129,3.7811081379549156,-0.055936176265731774,1.6047088251216652,0.3313907431863022,0.971316402652657
2,3.5921671166042453,3.65000718622776,-0.05784006962346666,1.56181418488725,0.32854960345900786,0.9770394879112422
3,3.34280677937143,3.3866048871660412,-0.043798107794486896,1.6434178353818516,0.3378001398071543,0.9585209355259641
4,3.5495865238346633,3.6101780029082056,-0.06059147907365059,1.569946580524086,0.3279204120794489,0.9783112407108254
5,3.63562865870263,3.682004526715608,-0.04637586801300131,1.7185261421023115,0.3401926113785523,0.9537847478560789
6,3.7893889277100508,3.839437821445748,-0.050048893735606725,1.7812302757488516,0.3415088950017159,0.9511881062908105
7,3.655478253502978,3.6525463523497974,0.0029319011531470096,1.7335917470589775,0.3596264842975445,0.9160770494154152
8,3.6857676142123674,3.714400941756538,-0.028633327544184795,1.7764210001720548,0.3492297001770038,0.9360844663521584
9,3.7641131894458377,3.8035662745953873,-0.039453085149602884,1.5695188200318801,0.3359690636863525,0.9621603481729954
10,3.8209874420470706,3.826084819027714,-0.005097376980643276,1.6216674282982377,0.3518647712910673,0.9309783347115433
11,3.6628605129194094,3.7325302097501902,-0.06966969683071511,1.5975702692636928,0.3259138684733103,0.9823775777455171
12,3.653298229074111,3.6701946154280884,-0.016896386354119386,1.8453524966349657,0.3562836961353582,0.9224695694549249
13,3.853573494436163,3.83591640183955,0.01765709259666437,1.8912360284870906,0.3709804009179738,0.8946384311786341
14,3.747084108241965,3.800312161245423,-0.053228053003408604,1.6655944664520992,0.33527829395312303,0.9635366240538887
15,3.8704923017517823,3.8716945353554317,-0.00120223360363525,1.8535665410864395,0.3624912402646318,0.9106283262852277
16,3.6805837268075985,3.6980466409033506,-0.017462914095631277,1.7909094939543584,0.35400314021639906,0.9268524655056151
17,3.799559907735742,3.8255599501717485,-0.02600004243595322,1.7247399699669566,0.34810951465475715,0.938262522431891
18,3.797259765057974,3.8953060996773727,-0.09804633461931189,1.5681006020491406,0.31403863731221,1.0067838914209124
19,3.7406271559190865,3.755040950033597,-0.014413794114375378,1.6384041289170534,0.348905303507432,0.936714756664613
20,4.012146790001297,4.025473007510899,-0.01332621750952967,1.7721545635709757,0.35484329995436237,0.9252357332851685
21,3.578254517834538,3.630161479502596,-0.051906961668123586,1.6521926334388137,0.33515341559390266,0.9637856240475736
22,3.6523169715257646,3.6661282835114006,-0.013811311985705288,1.5834695130380778,0.34669258242396866,0.9410239567699284
23,3.7974875559230705,3.8219509968752723,-0.024463440952217752,1.638743162250643,0.34499773422245283,0.9443364712966055
24,3.712993521051616,3.728587096375631,-0.015593575324032827,1.6879248838581935,0.35056333907501513,0.9334971542535664
25,3.7444940309138284,3.7520492528543974,-0.007555221940492629,1.757788960472801,0.3564938785437705,0.9220665212006016
26,3.839558233929851,3.9017209260599737,-0.06216269213007308,1.6315374175361579,0.3303579540913025,0.9733931258343
27,3.597530020427329,3.6474214660102104,-0.04989144558294356,1.6261253328724452,0.33469205830620197,0.9647060615914814
