,logR,logI,logS,d_G,p,sigma
labels,$\ln\mathcal{R}$,$\log\mathcal{I}$,$\ln\mathcal{S}$,$d_\mathrm{G}$,$p$,$\sigma$
samples,,,,,,
0,4.030614951077563,4.396841634256226,-0.36622668317863827,2.92703953616971,0.2896984191578662,1.058783435516447
1,3.5999732834751623,4.2196975517681,-0.6197242682929414,3.1425137702039603,0.24113527210516728,1.1721539024148422
2,4.282966717969554,4.5875507169672645,-0.30458399899771393,4.254183229340104,0.3344344145852996,0.9652204332584664
3,3.654944265581048,3.9998964578344496,-0.34495219225334495,3.9569941687140346,0.3197666333325788,0.994937560721862
4,3.8034524838207173,3.959705844824445,-0.15625336100373488,4.506894190414187,0.3727835622588736,0.8912714480298483
5,3.9167417881114486,4.223817627962642,-0.3070758398511657,3.8849854468025047,0.3269912542700601,0.9801921994978513
6,3.8347657591053914,4.217927193373196,-0.3831614342677767,4.42636417312549,0.32022002820253986,0.9940058319510762
7,4.070367217169018,4.643824180766934,-0.5734569635978914,3.6232777475035363,0.26356766415844984,1.1179984294019432
8,4.166929646057849,4.47432634360446,-0.3073966975466078,3.8656144985931675,0.3265317720661554,0.9811236439406458
9,4.1994417668131625,4.6429251020871085,-0.44348333527398154,3.8072410189936168,0.2948947632696419,1.0474441823406015
10,4.051801847928868,4.365162694013797,-0.31336084608489045,3.807675517309807,0.3239766485118164,0.9863188990981921
11,4.104308933558979,4.38129998623976,-0.27699105268078483,3.6201646052338923,0.3286787369057919,0.976778672383004
12,3.8866630872878543,4.3793934892603446,-0.4927304019724943,3.27043853529287,0.2709185361839377,1.1009497308027145
13,4.220606466831509,4.490498083383308,-0.2698916165517744,3.637454011622383,0.33075583622565163,0.9725925712544586
14,4.361288790018431,4.6435656569502655,-0.28227686693185206,4.763408183290721,0.34756305747553856,0.9393266546719525
15,4.061406730467194,4.394721494695059,-0.3333147642279073,3.612020170122694,0.315154722859512,1.0044646064604974
16,4.272743493325276,4.639664067796691,-0.3669205744714077,4.209104181250016,0.3197659558829558,0.994938953530532
17,4.16989304760342,4.5655251853318966,-0.39563213772851213,3.7565754550407817,0.3042065772695783,1.0274543356041497
18,3.909778153412969,4.493936491760884,-0.5841583383479474,3.6249513333011603,0.2614825650381009,1.122893884711566
19,4.339673538122508,4.616115888239477,-0.27644235011695173,3.9752137253753883,0.335862305792239,0.9623729313843827
20,4.042123733677737,4.345935563972795,-0.30381183029504655,3.92956828588715,0.32862221130686176,0.9768928310172423
21,4.253027491108082,4.621162027941281,-0.3681345368332245,3.5688598707036174,0.30613608158933797,1.0233633492449041
22,4.151609517748977,4.434666918072345,-0.28305740032340054,4.045712296858344,0.3356244610579844,0.9628466996284146
23,3.8570060832166857,4.188358060565413,-0.3313519773487883,3.913004731084632,0.3219698476320057,0.9904180068162367
24,4.0042837637084965,4.294782002085476,-0.2904982383769834,3.6328230653226665,0.32570736941333467,0.9827969781540293
25,3.7684969612835286,4.091322822454103,-0.32282586117059964,3.258917926665019,0.3092592983952958,1.0167774782098384
26,3.858269030577571,4.129803842720193,-0.2715348121426473,4.212381460313747,0.34124441808380557,0.9517093265236941
27,4.2974050769868875,4.697247334805606,-0.39984225781870464,4.128818451352977,0.3110663260208424,1.0129870929672078
28,3.9044098754927856,4.244834419787207,-0.3404245442944216,3.140323112036363,0.30193191189991075,1.0322993363209174
