,logR,logI,logS,d_G,p,sigma
labels,$\ln\mathcal{R}$,$\log\mathcal{I}$,$\ln\mathcal{S}$,$d_\mathrm{G}$,$p$,$\sigma$
samples,,,,,,
0,6.378800590706746,7.4489504265032025,-1.0701498357966557,2.4398196168341606,0.1431634873685363,1.4641114936269042
1,6.583821762428201,7.597658109699374,-1.0138363472715355,2.1638270674587563,0.140245174554263,1.474878637595794
2,6.491780867438578,7.584106091459191,-1.0923252240218062,2.701487033299225,0.14925811119143603,1.4421569178646259
3,6.570213633549869,7.590985666093495,-1.020772032543391,2.3802173211307434,0.14767628497445257,1.4477882318184319
4,7.225185689315808,8.345630958846918,-1.1204452695310465,2.755914535002999,0.14732885560746925,1.4490312504180785
5,7.2465764734156295,8.486401223231084,-1.239824749814943,2.7198482412076608,0.13135637406240028,1.508774677435426
6,6.625363123341671,7.713705304696234,-1.0883421813541645,2.103148838121175,0.12805962755947262,1.5217983001243494
7,6.976745943478349,8.011032105246237,-1.0342861617682502,2.8490145329041585,0.16206696693566547,1.3981535335445536
8,6.863970725999465,7.90059468072279,-1.036623954722927,2.8741773202060195,0.1625466417382894,1.396557621069948
9,7.173829828300299,8.303391771421616,-1.129561943121189,3.8098410462001713,0.17598744891160883,1.353213452227591
10,6.162619368280033,7.322654224266813,-1.1600348559877602,2.11543235612311,0.1198203062901067,1.5555282734680427
11,6.548099251533571,7.67108207907733,-1.1229828275436375,2.3904295607179034,0.13453882387626445,1.4964408008466847
12,6.799952841174203,7.879679410928141,-1.0797265697538023,2.6363241986904953,0.14875722187144044,1.443935136342046
13,6.503807909963584,7.5565331027517075,-1.0527251927887846,2.5741833166919026,0.15027763708537914,1.4385514966662964
14,6.823349788421623,7.936849567012217,-1.1134997785893574,2.385541728588546,0.1355643440824713,1.4925144038353308
15,6.605762676185336,7.880064008072679,-1.274301331886818,2.5385859285228687,0.12160895661854632,1.5480554091779897
16,6.51096974326218,7.7325667007806445,-1.2215969575190684,2.5144702785017223,0.12684821275827823,1.526649413164566
17,7.143414222837677,8.4125002231171,-1.269086000279458,1.9886463846943716,0.1029808491020395,1.630571110682769
18,6.807978751871346,8.042121920660016,-1.2341431687882505,2.539334159738887,0.126210758173386,1.5292165940730296
19,6.611317973378831,7.811376926343165,-1.2000589529643548,2.7769196776034875,0.13792387475920367,1.4835668294781332
20,6.521697809450856,7.477258975799472,-0.9555611663490708,2.938204234012721,0.176462280914113,1.3517281983386784
21,6.564868761822694,7.800315712511093,-1.2354469506881287,2.2006601501203544,0.1143852915120029,1.578785387037915
22,6.4247459972216205,7.64121287250785,-1.2164668752857324,2.3299259533362857,0.12112736491378932,1.550058961148319
23,6.715463353942582,7.901617019926846,-1.1861536659844205,2.493174341765119,0.13033978752853348,1.5127633260104345
24,7.252953858954683,8.344045519109144,-1.091091660154234,2.60756560792937,0.14626333776983122,1.4528574473578464
25,6.729867169717622,7.8500346905930485,-1.1201675208749293,3.2014479963792386,0.16098036884530006,1.4017819541754641
26,6.462561572865056,7.70773204151795,-1.2451704686527592,2.678060025261285,0.1294113399505996,1.5164273014821266
27,6.428227830887849,7.607697776399043,-1.179469945510391,2.5699548222191044,0.13373961236511545,1.4995168051817453
28,6.573317273875077,7.732036230574742,-1.158718956699886,2.2742274238620954,0.12592154030614455,1.530384673935361
