,logR,logI,logS,d_G,p,sigma
labels,$\ln\mathcal{R}$,$\log\mathcal{I}$,$\ln\mathcal{S}$,$d_\mathrm{G}$,$p$,$\sigma$
samples,,,,,,
0,6.812730578908624,8.654872004790885,-1.842141425882346,4.5505884293511265,0.11433324655258809,1.5790122531526731
1,7.08265310463403,9.133030660027313,-2.0503775553931973,4.20305074964735,0.09159762532713923,1.687029782718296
2,7.317642456402975,9.389782201474251,-2.0721397450711265,4.124869643883148,0.08866199243034045,1.7024983237888451
3,7.431415666595196,9.458183396466016,-2.026767729870926,4.645160874369719,0.10103034175087128,1.639878934020835
4,7.445353566923043,9.481338123549374,-2.0359845566263175,4.274981257155979,0.093918041888198,1.6750825209936164
5,7.076070692270061,9.191865160750641,-2.1157944684807717,4.368968597208493,0.08983090904515541,1.6962903397116558
6,7.1639233733282275,9.271962081158623,-2.108038707830474,4.991305511180165,0.10061150039252433,1.6418962826446548
7,7.297298788512219,9.63973888398304,-2.34244009547092,3.7407768169625513,0.06532691349187839,1.843014362678212
8,7.548250299276699,9.894552715929105,-2.346302416652179,4.642469972480118,0.07915184514368824,1.7556286021097096
9,7.78634891085758,9.80303424174097,-2.016685330883547,3.6000373367578717,0.08282777987539398,1.7345091714216125
10,7.447558769035506,9.33689699618768,-1.889338227152166,4.570497591672726,0.11069383297351973,1.5950823001508823
11,7.401628478544264,9.639716652854002,-2.2380881743097234,3.82553708931405,0.07268257211844402,1.7948188147820026
12,7.025027666731287,8.923169417278675,-1.8981417505474383,4.190712784975137,0.10297244592690862,1.6306109085967786
13,7.506563754293577,9.680242688643713,-2.173678934350164,4.269510075839463,0.08421638745747545,1.7267287630166999
14,7.524908144026451,9.620502096118397,-2.0955939520918037,4.573292154910309,0.09470589815179246,1.6710798939652332
15,7.339023704262583,9.450557514896413,-2.1115338106340005,3.230178471840503,0.0695780631344264,1.8146477259200184
16,7.4150626132237925,9.229202940557567,-1.8141403273336891,5.308675880595608,0.13011650821353843,1.5136426086938617
17,7.204553267763597,9.468732225152063,-2.2641789573885944,5.545906610449222,0.09774716970236545,1.6558748304518358
18,7.05815553257403,9.309450361650836,-2.251294829076869,3.722607089900407,0.07015786608800188,1.8108900953134963
19,7.464447580606841,9.677918883516671,-2.213471302909511,4.528335091702331,0.08581482396924865,1.7179001801809652
20,7.453035913507076,9.52315313820105,-2.0701172246940587,4.166637911406504,0.08954351098381573,1.6978106193427416
21,6.796296773209999,8.919766779386418,-2.123470006176376,4.491228205024207,0.0913482998802347,1.6883279129545559
22,7.397278144775694,9.61315225486059,-2.215874110084769,4.12174870088101,0.0790209505177611,1.7563952079905458
23,7.560901173039522,9.609786552950236,-2.0488853799106437,4.462420132236819,0.09623947261096881,1.6633646105831417
24,6.88016147321164,9.235595205582019,-2.3554337323705568,4.182212059865865,0.0715940483668812,1.8016909142437771
25,7.450164942686026,9.599878403090553,-2.1497134604044277,3.886864256730771,0.07923047326287709,1.755168599186704
26,6.878683416251217,9.144791707135997,-2.2661082908848584,2.3481397574933176,0.04476591365602978,2.0068474035176087
27,7.028563283557016,9.268505957600805,-2.239942674043732,3.9867119230440764,0.07527796868462759,1.7787670052080626
28,7.08855626619302,9.157117981219958,-2.068561715027272,4.173289362438997,0.08977112453952443,1.6966062651687492
29,6.988867830368147,8.939458917462513,-1.9505910870943808,4.864521767420566,0.1107835155055499,1.5946813282487493
