,logR,logI,logS,d_G,p,sigma
labels,$\ln\mathcal{R}$,$\log\mathcal{I}$,$\ln\mathcal{S}$,$d_\mathrm{G}$,$p$,$\sigma$
samples,,,,,,
0,5.362182719567442,7.158846621389194,-1.7966639018218302,1.3868294537558477,0.043747103189888836,2.0165058876143696
1,5.368709556084638,7.230341456283759,-1.8616319001991997,1.616836774390702,0.04705686956072209,1.9857879928791713
2,5.216836900440227,7.0589634992560155,-1.8421265988158666,1.3901671006134322,0.04171863965173114,2.0363159456620346
3,5.1142453290019025,6.735774476855631,-1.6215291478536074,1.4371582920303005,0.054720196799952533,1.9210913113988857
4,4.858218253313168,6.61319954861328,-1.7549812953002402,1.280693282265041,0.04253772670615372,2.028220714191319
5,5.201240343058031,7.075039024280115,-1.873798681222297,1.0230915218033516,0.029999715673047503,2.1700941315438276
6,5.145979217462979,6.737175886940071,-1.5911966694773128,1.702638871918868,0.06547722785237745,1.8419857941313298
7,5.11006832573588,6.935708150030158,-1.825639824294285,1.8809837171254244,0.05610151069306412,1.9102462817200925
8,4.747638284464016,6.506553815543959,-1.7589155310799924,1.914457209380604,0.060980109068674404,1.8736396507345858
9,4.663814906009008,6.429096669934075,-1.7652817639250316,1.6831513497350379,0.05402382440575259,1.9266454980071746
10,4.8566180192098605,6.659175390373938,-1.8025573711640845,1.7382209531833865,0.053496843066794024,1.930888496606617
11,4.908689434391532,6.570973800285642,-1.6622843658942656,1.5632916983123337,0.05640219611624465,1.9079150550740605
12,5.233930848849865,6.9995134675216795,-1.765582618671715,1.575775237039288,0.050881837658034654,1.9524749882255072
13,5.364080777187779,6.86398425241974,-1.499903475231804,2.388746964964806,0.09429932821954586,1.6731420855341304
14,5.120975700976657,6.798258572498468,-1.6772828715215837,1.8661881312797597,0.06479717722845736,1.846654863964629
15,5.149051119354168,6.790585817783479,-1.6415346984292682,1.4915943787207553,0.05533174177723297,1.9162621050924826
16,5.23315607724811,7.034484453060123,-1.8013283758120906,1.4984068262493189,0.046765054724337646,1.9884218455827092
17,4.936002258894802,6.661999454834443,-1.7259971959394989,1.9931749335858981,0.06528786140074867,1.843281907014009
18,5.256117482369233,6.768855522803782,-1.5127380404346695,1.7205534508578602,0.07170111517562426,1.8010111968309224
19,4.69800312626711,6.355682163139853,-1.6576790368726506,0.8896895046931803,0.033852136787926625,2.121828567005394
20,5.16973964567586,6.994197907777646,-1.8244582621016434,1.759066148524326,0.052865089484417864,1.9360213228316419
21,5.035388237375797,6.720191093692761,-1.6848028563172193,2.5964136357683287,0.08470816849556237,1.7239981978672387
22,4.95291098376964,6.550200854535283,-1.597289870765735,2.282444203212947,0.082933991477228,1.7339103482095137
23,4.904187410444307,6.689090704718892,-1.7849032942744998,0.7050411442356435,0.02318913939219737,2.2703040848303138
24,4.907204195879273,6.730299375150643,-1.8230951792713768,1.544249008831283,0.04697744183947815,1.986503524805412
25,4.682102681046842,6.543333424870979,-1.8612307438243079,1.8555009983801298,0.053439940505104595,1.9313487334538382
26,5.60909430566761,7.314152353386688,-1.7050580477191488,2.714906343269689,0.08618546032939524,1.7158720664982587
27,4.588459015578279,6.2674251797492095,-1.678966164170788,1.8775129416529595,0.06502372560375613,1.845094964413928
28,4.791420419087614,6.585280447515344,-1.7938600284276163,2.0736420859331446,0.0631615900572153,1.8580522831264237
