,logR,logI,logS,d_G,p,sigma
labels,$\ln\mathcal{R}$,$\log\mathcal{I}$,$\ln\mathcal{S}$,$d_\mathrm{G}$,$p$,$\sigma$
samples,,,,,,
0,6.003232312453001,7.548252540529617,-1.5450202280753729,1.5735419485821716,0.06429576803582969,1.8501233859430712
1,5.867555526891628,7.5025103595783165,-1.6349548326861623,1.9098178057399817,0.06899242252046933,1.8184693805476246
2,5.869262698114362,7.367819296400107,-1.4985565982860862,1.1835373568884364,0.052926744966026874,1.9355181389416183
3,6.120169227352271,7.63090080248017,-1.5107315751274655,1.5582844118905115,0.06615322542690825,1.8373840116298281
4,5.744707347914009,7.262707318863306,-1.5179999709498588,2.1530424154781898,0.08549277035692072,1.7196682057030586
5,5.951990380681018,7.448596260619553,-1.4966058799391249,1.0246584378719508,0.0466907041382416,1.9890951267408237
6,5.954748774312684,7.5130557098599695,-1.5583069355470798,2.099897498624099,0.08055501310036776,1.7474747961436352
7,6.138186844350166,7.646542942199936,-1.5083560978500827,2.107489266400025,0.08486038768525879,1.7231556154428767
8,6.026069090011951,7.60700226780132,-1.5809331777900297,1.300663878841565,0.05239499603823307,1.9398740702277992
9,5.793396961776743,7.244285128362527,-1.4508881665851732,2.560346780123286,0.10397612978485803,1.6258755620335545
10,6.186906791799338,7.465833844411968,-1.2789270526127439,2.0222281033345553,0.1032193722364121,1.6294425270709851
11,5.9041689493857845,7.4056910951759605,-1.5015221457906591,1.9777242259025254,0.08123040274577199,1.7435911778520794
12,6.103704318656746,7.527939944664631,-1.4242356260083398,1.8184899854224241,0.08219328435481145,1.7380994923203723
13,6.143118630694225,7.69081271137172,-1.547694080677502,1.9305173327933396,0.07604011139343304,1.7741393010971505
14,5.976803698482108,7.483291084465684,-1.5064873859837462,1.8920259060537816,0.07799538382913253,1.7624376399181403
15,6.251766681872759,7.719709588064461,-1.467942906191638,1.878655471944752,0.08065516132054594,1.7468972593673182
16,6.58680769393748,8.074272351074832,-1.487464657137025,1.4491707498004303,0.06380901851228074,1.8535119250665664
17,5.6280560006031735,7.206681800532991,-1.578625799929796,1.340272812476524,0.05394099251063014,1.9273101251792253
18,5.801839216651096,7.41164496409894,-1.609805747448263,1.319211191785195,0.05137588959089557,1.9483266559779493
19,5.602001302799799,7.15010034217287,-1.5480990393725733,1.4893377284464329,0.061141142280065286,1.8724733734059151
20,6.275571889174607,7.9621623751718715,-1.68659048599784,1.0393062374740047,0.03785083362460326,2.0764664213494104
21,5.571057327043199,7.214926520321825,-1.6438691932780785,0.9068302500791248,0.03503958478830762,2.107900640889964
22,5.632668680960414,7.235657588948307,-1.6029889079882196,1.0979988801748881,0.04388120088615809,2.0152238380143053
23,6.138636913394002,7.500220115855647,-1.3615832024615884,1.9229608024495253,0.09150604745878523,1.687506258860396
24,5.846280704224846,7.413127053677066,-1.5668463494521347,1.5871598118659982,0.06327772287687708,1.8572350325120681
25,5.96317002177755,7.415576114774041,-1.4524060929970801,2.670240782694819,0.10706468764806065,1.6115280082191739
26,5.557677033928194,7.105553017153923,-1.547875983225822,1.748570467457597,0.0700569724313347,1.811542138163658
27,5.732232897895919,7.319826594058668,-1.5875936961629122,1.4787993483981285,0.05821889077079508,1.894046102531554
28,5.825981421123906,7.343577765756201,-1.5175963446317837,1.7932569553080455,0.073815286733128,1.7877565933831354
