,logR,logI,logS,d_G,p,sigma
labels,$\ln\mathcal{R}$,$\log\mathcal{I}$,$\ln\mathcal{S}$,$d_\mathrm{G}$,$p$,$\sigma$
samples,,,,,,
0,1.783609045159182,3.0003964121714906,-1.2167873670123122,0.26314808604616147,0.019257808348572693,2.340502521969283
1,1.950901534564324,3.0638554177917645,-1.1129538832274388,0.6885806222674651,0.05326781345534445,1.9327434200657405
2,2.0607524126637746,3.1699189110721027,-1.1091664984083245,0.5841272893909304,0.046474301431121585,1.9910599079923383
3,1.8855463628555786,3.1123472828198158,-1.2268009199642371,0.6122266936046756,0.04136951423992979,2.0398073824860137
4,2.2274090361264496,3.400155904817986,-1.1727468686915365,0.7958127938920887,0.05573681755511411,1.9130877669069803
5,1.8944094682155357,3.0208030953294593,-1.1263936271139254,0.6431565751699511,0.049356890325955007,1.9654957219835338
6,2.001444072031959,3.145505400342476,-1.144061328310519,0.6286399681921528,0.04726522657722828,1.9839158059853401
7,2.292084112071312,3.3595456696301764,-1.067461557558861,0.7864703457314741,0.06317665245589964,1.8579462158642228
8,2.0762375181027335,3.195012312793754,-1.118774794691019,0.6658468882420054,0.051366484859221864,1.9484053108274404
9,2.104504260833647,3.3711088939593705,-1.2666046331257252,0.5527601205517918,0.035795901293650734,2.0992382779075522
10,2.0394964163946985,3.242138994333065,-1.2026425779383665,0.5713979059612262,0.040179552447449585,2.0518982451624663
11,2.11831118839082,3.33726950487084,-1.2189583164800215,0.336326440267535,0.02418988733794445,2.2540998464329567
12,1.8942405666691973,3.0541276259126353,-1.1598870592434363,0.572232317007904,0.04261612002673567,2.0274528667819536
13,1.959186697172108,3.1344666004834107,-1.1752799033113028,0.5403735463301205,0.039669934030974394,2.0571693985611166
14,2.444191926999413,3.555808431710514,-1.111616504711101,0.7654879569627173,0.05834737725527204,1.8930789033551476
15,2.0278226858839195,3.205998755287539,-1.1781760694036159,0.666405488438162,0.0475266385448496,1.9815766870680667
16,2.0883804116775946,3.222965877266486,-1.1345854655888896,0.9004464322789163,0.06482894024829965,1.846435888656263
17,2.2014986404541586,3.3822281780750107,-1.1807295376208522,0.45978328654136646,0.034053434027871116,2.119438405225837
18,2.023230130627987,3.1828193032017578,-1.159589172573769,0.36403344514311264,0.028339038338548287,2.1925607957649347
19,1.9539729487812605,3.142791319401607,-1.1888183706203463,0.6802512931624145,0.04771320328815278,1.979913908511778
20,1.6409000000613791,2.891080306040934,-1.2501803059795549,0.4776148547524759,0.032039252132300175,2.143920564686463
21,1.7890719286906251,2.9879452962103064,-1.1988733675196794,0.8537761562152211,0.0572282085323529,1.9015637674111692
22,2.2378255082843457,3.326736531840162,-1.0889110235558181,0.6644545216165474,0.053349791414349784,1.9320787119737575
23,2.0641377306363506,3.2773948168407476,-1.2132570862043952,0.7343390140179897,0.04939626741566659,1.9651552858045707
24,1.8552857886214622,3.045797224407672,-1.1905114357862079,0.5138703106471691,0.037145672769074566,2.0841593741172537
25,1.99269016547461,3.1428783682082764,-1.1501882027336663,0.5670418206544658,0.04283339351555073,2.0253309401995327
26,1.9297264391886135,3.1337541094769574,-1.2040276702883421,0.4017358686261554,0.02913815079092708,2.1816124020709906
27,2.1019415660643053,3.277669519847454,-1.1757279537831486,0.5843547453661371,0.04249543241373999,2.028635475727871
