,logR,logI,logS,d_G,p,sigma
labels,$\ln\mathcal{R}$,$\log\mathcal{I}$,$\ln\mathcal{S}$,$d_\mathrm{G}$,$p$,$\sigma$
samples,,,,,,
0,4.235896144966209,4.408752018707678,-0.1728558737414687,1.7807574553159053,0.29957202830553775,1.037351595184338
1,4.060402245456928,4.2365952613767055,-0.17619301591977887,1.8692900659158482,0.30270490077927126,1.0306501684979124
2,4.095837074074518,4.228959763462146,-0.13312268938762983,1.8450965213346704,0.31545991719983046,1.0038313365805402
3,4.040504241404823,4.235155125296589,-0.194650883891768,1.748215642309292,0.2910766270782793,1.0557627356649202
4,4.258553036097976,4.38527135313045,-0.12671831703247705,1.8944292717793418,0.3197305269699847,0.995011796614181
5,4.1281793889021765,4.19022631610851,-0.06204692720633531,1.9060116255710984,0.3422233765421254,0.9497813256777472
6,4.155505474849975,4.330084669665632,-0.1745791948156601,1.7528202284580034,0.2976461327783234,1.04149443901606
7,4.130167097670594,4.239811160620353,-0.10964406294975859,2.0432493533239757,0.3313390996577113,0.9714201474912939
8,4.224616577913424,4.317881907336573,-0.09326532942314714,1.9962623083752744,0.33497776267843066,0.9641359666491139
9,4.046706858769611,4.207051033495168,-0.16034417472555873,1.6177089743129107,0.2952349701006102,1.0467064887948736
10,4.306507244961996,4.48261019434064,-0.17610294937864523,1.9195528501239263,0.30500225107142404,1.025765246817319
11,4.2226815321395295,4.360911903273965,-0.13823037113443704,1.978802956394155,0.31952240092110623,0.9954398176984637
12,4.129266459722342,4.318540653655311,-0.1892741939329703,1.907210510492349,0.3003675902227017,1.0356454281980587
13,4.087435092085443,4.237883567690518,-0.15044847560507435,1.7876731163055206,0.3071301984848972,1.0212622669194034
14,4.07181494813812,4.204835932806655,-0.13302098466853707,1.9282924019732492,0.31910667595174236,0.9962953222140528
15,4.261955706392492,4.361933113118131,-0.09997740672563893,1.994214167526768,0.3326554640698124,0.9687790047843712
16,4.205131513657627,4.347111158985778,-0.14197964532814566,1.8728769344363405,0.31379637018568984,1.0072880510902689
17,4.380764651933817,4.4934509658695925,-0.11268631393577522,2.0050829833233994,0.3288735955942967,0.9763852349198577
18,4.001820474245545,4.1653082549906975,-0.1634877807451538,1.9389605494348636,0.3098061584511297,1.0156288556615345
19,4.214288206345015,4.340486633192234,-0.1261984268472176,1.8681272877741675,0.31876450255400635,0.9970000152232741
20,4.087236749737408,4.221283017341212,-0.13404626760380722,2.003407613530169,0.3218657566497084,0.9906310779632984
21,4.123718692671994,4.275001410863564,-0.1512827181915668,1.95943198806948,0.3145438562824998,1.0057333494240246
22,4.259102907867974,4.4153723673417895,-0.15626945947381543,1.75050269351288,0.303437669894356,1.0290893933050471
23,4.26090983915114,4.333447029577701,-0.0725371904265586,2.1692882458568707,0.34804629613361726,0.9383855753728813
24,4.250023304874682,4.396761874156637,-0.14673856928195406,1.9606391253369315,0.31604308346892074,1.002622400754939
25,4.0093729182924465,4.199260851976338,-0.18988793368389167,1.7094616821715585,0.29057969244678056,1.0568507850577566
26,4.173745883541618,4.263042864929267,-0.08929698138765119,2.0234752152892996,0.33733551047800664,0.9594432208287386
27,4.080703515566587,4.255292725206252,-0.17458920963966307,1.7569265364360236,0.29784712480353037,1.0410612447167074
28,4.239613233561827,4.374368117471426,-0.13475488390960066,1.8349031291806188,0.3144639372304235,1.0058994575511873
