,logR,logI,logS,d_G,p,sigma
labels,$\ln\mathcal{R}$,$\log\mathcal{I}$,$\ln\mathcal{S}$,$d_\mathrm{G}$,$p$,$\sigma$
samples,,,,,,
0,5.7995049840455986,7.075007337399435,-1.275502353353886,3.999858107212823,0.16160160239458266,1.3997052454146202
1,5.425144587106389,6.895188465468622,-1.4700438783622758,3.2735118426626606,0.12174292484126348,1.5474991684133572
2,5.197393239374606,6.464333446522326,-1.2669402071478544,2.9799645230283502,0.1360422239125442,1.4906925843927372
3,6.13260784597128,7.398798689085546,-1.2661908431141455,2.3809499879646197,0.11728547257164676,1.5662697802315633
4,5.289284614019835,6.688796279543035,-1.3995116655230504,3.287507350419496,0.12954695089737078,1.5158908636816726
5,4.899215216705898,6.088355281081015,-1.1891400643753514,2.9551621204135543,0.14475961272116208,1.4582936755759164
6,5.555000743880556,6.894238048159175,-1.3392373042786403,2.576485660752862,0.11573671674541465,1.5729227061962507
7,5.5270129509908665,6.977013657494454,-1.4500007065037153,2.532788569914416,0.10323735531736125,1.6293575233576505
8,5.703870168209051,6.878993724791365,-1.1751235565823208,3.40550062883462,0.15941707405497124,1.407034785907793
9,5.759264363585772,6.921603071153968,-1.162338707568324,3.2897631197416146,0.157899470501747,1.4121714982754068
10,5.453285760391965,7.0037439769845955,-1.5504582165924603,2.560548585893489,0.0948526477109539,1.6703372978040065
11,5.6184519781268145,7.02748424256496,-1.4090322644383377,2.4174697993058523,0.10365185562029632,1.627401488439249
12,5.549092947102964,6.866017074516976,-1.3169241274142678,3.5299841475572826,0.14514556446388924,1.4568942827751896
13,5.54051148334861,6.658604918744481,-1.1180934353960765,4.464086114169536,0.1927129465219824,1.3025953488686557
14,5.345078600335911,6.7741613262282465,-1.4290827258923855,3.199084507947447,0.1240671298810661,1.5379242800523374
15,5.376103035339839,6.64380978814802,-1.2677067528081807,2.650228944557945,0.12593029146046808,1.530349299530788
16,5.357275977465634,6.553046096692946,-1.1957701192272907,4.1524944841167795,0.17529777162422275,1.355376064434542
17,5.484578376999708,6.619967125212519,-1.1353887482130176,2.6892016148484075,0.1432155324654666,1.4639210085730452
18,5.0041631939620865,6.529964392567124,-1.5258011986047677,2.392079502375143,0.09211814120578003,1.6843288065535056
19,5.135130624906652,6.433126214757793,-1.2979955898513253,2.4228801305222234,0.11521550646639332,1.5751773817817047
20,5.741083815533558,7.15096558108067,-1.4098817655469702,2.6926023902013227,0.1119395835965184,1.5895353329612985
21,5.35793254984742,6.639551222412536,-1.2816186725651733,2.997700843784557,0.13483832276767618,1.495291728843557
22,5.710439496466734,6.844328601687281,-1.1338891052205327,3.6882297495263217,0.17233438126953865,1.3647412771001084
23,5.599905161432162,6.811452155805427,-1.2115469943732933,3.0458748761721175,0.14466138591959,1.458650284849895
24,5.701485510937801,6.999724182536284,-1.298238671598483,2.5864645392731695,0.12048601753071891,1.5527368389742935
25,5.795712856396677,7.088733284208346,-1.2930204278118254,3.2172387751601335,0.1396911513584685,1.4769421264070868
26,5.812543461654742,7.0235988457707,-1.2110553841157525,3.8946193408736,0.16725329248930923,1.3810834861859127
27,5.044752345328335,6.4135234564420935,-1.3687711111138015,3.280343114282463,0.1327353661598028,1.5034021746447974
28,5.542069877607902,6.855076469533658,-1.3130065919258413,3.025162820728614,0.13201121507725214,1.5062180197129693
