,logR,logI,logS,d_G,p,sigma
labels,$\ln\mathcal{R}$,$\log\mathcal{I}$,$\ln\mathcal{S}$,$d_\mathrm{G}$,$p$,$\sigma$
samples,,,,,,
0,4.103844179736191,5.896591224953196,-1.7927470452170837,1.7903095500761808,0.05550061076287753,1.9149364333059367
1,4.383103840746164,6.111506868323586,-1.7284030275775422,1.9825131649280117,0.0648293769772775,1.84643287844924
2,5.105843468399419,6.515344353052447,-1.4095008846531982,2.5500087052332567,0.10770312824838073,1.608603226671148
3,4.25994926674962,5.919799326124624,-1.6598500593750032,1.7111612271120684,0.06120593843008465,1.8720048073323963
4,4.618242603033016,6.3898383934952445,-1.7715957904620154,1.7733743470734957,0.05624370024533611,1.9091425869886767
5,4.81007395210286,6.522081878189807,-1.712007926086926,2.576090555979494,0.08208173979161991,1.7387329929642263
6,4.369470610678539,6.02276128805053,-1.6532906773718423,2.3916647543140144,0.08164131150997632,1.741241181251717
7,4.8356356887498375,6.297749904805732,-1.462114216055852,3.0041435266307133,0.11546751804912805,1.5740862192142229
8,4.406240356750052,6.09007099077658,-1.6838306340264353,1.8911076247233716,0.06510566304236962,1.844531887844266
9,4.171430273644367,5.781264110553762,-1.6098338369095018,2.3292113720685172,0.08328838804275498,1.7319167384519896
10,5.146000640760397,6.700685353439182,-1.5546847126788634,2.428327244445345,0.09069342755250301,1.691751169450626
11,4.412961984116285,5.9899333942602535,-1.5769714101438694,2.808426927412768,0.09933050600359067,1.648108024165905
12,4.548765250565159,6.141285613036478,-1.592520362471305,1.799324524912869,0.06851737960980671,1.8215889448665994
13,4.9821441560296105,6.4565006616978575,-1.4743565056685384,1.9913650974934107,0.08392992985231715,1.7283252429855331
14,5.111981913214825,6.632188317095013,-1.5202064038799108,2.343423697290401,0.0911497818635427,1.6893635490290038
15,4.3223419322017005,5.929811841882801,-1.6074699096811855,2.2832480410437093,0.08215033602081166,1.7383433283626872
16,4.754090954314782,6.403980659292243,-1.6498897049775678,2.49153488247088,0.08464910327192354,1.7243254728291835
17,4.3019709146545235,5.942029165861177,-1.6400582512067103,2.1318055551670554,0.0752540976276288,1.7789125659635536
18,5.0202184995517225,6.431761821340727,-1.4115433217891677,1.7364638758072246,0.08028758484637054,1.7490198697621082
19,4.087281514951931,5.547587619056854,-1.4603061041050296,1.7115159670324402,0.07541592781287114,1.7779264964765686
20,4.737243948897506,6.422381987319488,-1.6851380384218828,2.3511319469638465,0.07811042640491257,1.7617566232740047
21,4.330281593033808,6.097934118117406,-1.7676525250835766,1.6802161496506152,0.0538052830789481,1.928400875058137
22,4.744507697951624,6.5497968445128105,-1.8052891465611083,2.6201965807335377,0.07636891346447036,1.7721545040756361
23,4.693218776821189,6.196882066143003,-1.5036632893220485,2.0158438620171886,0.08230108488604503,1.7374879174481166
24,4.897835151455686,6.469115800165751,-1.5712806487099442,2.4329805694497324,0.08942214232569193,1.698453815992727
25,4.244125712751204,5.847214608451479,-1.603088895700239,1.6110669726247124,0.061670893179692536,1.8686545353434851
26,4.878992621984983,6.630789625895295,-1.7517970039102693,1.9759676741174559,0.06314429635769106,1.8581740886742333
27,4.872776324534746,6.284471547638423,-1.4116952231036066,2.238600484941461,0.09767181715267242,1.6562469584767918
28,4.460056560331443,6.070626596260309,-1.6105700359289585,1.5622802946558103,0.05957407947655492,1.883932699299764
