,logR,logI,logS,d_G,p,sigma
labels,$\ln\mathcal{R}$,$\log\mathcal{I}$,$\ln\mathcal{S}$,$d_\mathrm{G}$,$p$,$\sigma$
samples,,,,,,
0,5.736970436894364,5.902693576716356,-0.16572313982197784,7.285454522713085,0.39721499460434245,0.8466055944643621
1,6.015005637056344,6.37279150671305,-0.3577858696567091,5.441832829334697,0.3410606603960022,0.9520716208964326
2,5.781342605878603,6.360833729850938,-0.5794911239723319,5.173945002597732,0.29398638492020374,1.049416679271744
3,5.810640964366723,6.1349930476087735,-0.32435208324204723,6.2198018715945675,0.3569537753442698,0.9211851397024371
4,5.8729836145879055,6.242391052407285,-0.3694074378193477,5.561893042595226,0.3402875085942648,0.9535973284316047
5,5.89204007967022,6.317200651388539,-0.42516057171832244,6.4987902644116655,0.34071880195269544,0.9527459574663579
6,5.672090252784596,5.828539486078228,-0.15644923329364246,5.937140612589587,0.3885015675953461,0.862337963575844
7,5.7362005563480345,6.032364625520984,-0.2961640691729599,5.794420509419107,0.3579173102952555,0.9193408635823295
8,5.994954777553357,6.308054972685049,-0.31310019513165344,6.630998662883233,0.36329482870869156,0.9091047629246121
9,5.669509544548031,5.969410549692871,-0.29990100514476126,6.765064519561351,0.3670922022645345,0.9019334852307921
10,5.95070746342061,6.30757548568231,-0.35686802226172176,6.469735373720521,0.35328380049934927,0.9282386294611001
11,5.707818582413392,6.008676867956883,-0.3008582855434838,5.813648421301103,0.3571810342791294,0.9207498673317269
12,6.012835728751508,6.257193574929332,-0.2443578461778202,5.490272414051448,0.3652109450752775,0.9054803882491212
13,5.870659200437341,6.041393889164638,-0.17073468872729336,5.580085152919002,0.38200373537238314,0.874210304480581
14,5.426827389301717,5.84535770749067,-0.4185303181889708,5.729784730890966,0.332774145209308,0.9685412159678327
15,5.567598701686517,5.964061179813793,-0.3964624781272619,5.531111643626501,0.3344875345140431,0.9651143613157454
16,5.622297419033213,5.920594106455937,-0.2982966874226918,6.115734483821075,0.36100801303355345,0.913446016804912
17,5.6146572206958005,6.048323388345697,-0.43366616764984656,5.2143678496862,0.32262685653843176,0.9890741653113515
18,5.788927227188605,6.036147158506779,-0.24721993131822728,6.2712940346684665,0.3728178187642127,0.8912075798179098
19,6.010268800691971,6.26103559182512,-0.2507667911331737,6.264369193054273,0.3720369096580801,0.8926644199065542
20,5.5025899010957,5.60537226386548,-0.1027823627697444,6.351136024285372,0.4032908926368099,0.8357582953327055
21,5.502578339995193,5.691419651528836,-0.1888413115336789,6.084197291279965,0.38302077607633794,0.8723439351840921
22,5.659517646287224,6.111123390044128,-0.4516057437568861,5.445798279198556,0.32247561814435854,0.9893833489747568
23,5.6175743188707195,5.805553286672588,-0.1879789678018824,5.622973834404306,0.3787121406854907,0.8802716981204447
24,5.749866572216444,6.126860400284404,-0.37699382806795256,5.780700243289489,0.3415508820829808,0.9511053836446233
25,5.904770358777636,6.192180556632163,-0.28741019785456956,6.457631408249188,0.36661879645766915,0.9028249700932964
26,5.806444281028927,6.090881986843435,-0.2844377058144687,6.090089118454479,0.363513508239537,0.9086905226640323
27,5.510151045594807,5.994671433721372,-0.48452038812655474,5.533849440674269,0.31739567434248883,0.9998240303924218
28,5.657859624489117,5.744534209245998,-0.08667458475684953,6.1501206935007104,0.405211469834053,0.8323499041533969
