,logR,logI,logS,d_G,p,sigma
labels,$\ln\mathcal{R}$,$\log\mathcal{I}$,$\ln\mathcal{S}$,$d_\mathrm{G}$,$p$,$\sigma$
samples,,,,,,
0,4.386796615307341,7.8305174966536715,-3.4437208813462803,2.8760547210099148,0.018545135761696824,2.3545502569072867
1,4.29954838126225,7.490815391837197,-3.191267010575075,3.5652270548305687,0.030159153569034976,2.1679938617662224
2,3.4189771706019854,6.914371007148036,-3.4953938365461,2.1069107384579198,0.011921817880771873,2.5144500808787034
3,4.1901923639096115,7.443839040697506,-3.2536466767878665,3.1028288191164,0.024213648236163787,2.2537222257885827
4,3.8621144868805657,7.205336064474006,-3.34322157759334,2.550241830209192,0.01755173748640717,2.374941378248976
5,4.060931371365152,7.146047794883552,-3.0851164235182296,2.8791434963451152,0.025844765328854997,2.228536422461338
6,4.13138003921342,7.361227433721256,-3.229847394507715,2.9157677597001204,0.02296734199676501,2.2739774563330264
7,4.27214542990516,7.776214444588861,-3.5040690146838642,3.7239832236088652,0.024237617180985382,2.2533416240879776
8,4.018275294914313,7.189701417299931,-3.171426122385583,3.2886327336096564,0.027925020967549553,2.1983381037998053
9,4.393658505628375,7.65212784018089,-3.258469334552501,2.0077608865918215,0.01421102118023154,2.451884643850101
10,4.733100853749713,7.98638988517582,-3.2532890314257656,3.42980076600233,0.027295842410054467,2.207260826431899
11,4.222451251673258,7.39160481806549,-3.169153566392197,3.130851900952962,0.026411988037625407,2.2200998847397075
12,4.362222743980803,7.552504025936836,-3.190281281956004,2.9820249801340104,0.024461416401498105,2.2498035842351456
13,3.643655035433605,7.099118923437169,-3.455463888003578,2.1379723849020245,0.012633459638752807,2.4939380363958694
14,4.233647974111884,7.34022463986174,-3.106576665749799,2.2914183961921104,0.019355948242532468,2.3386037946266303
15,3.777017216593842,7.140450210389348,-3.3634329937954135,2.8655638504632037,0.019883560131798348,2.328537882384311
16,4.134139000051002,7.407143805342573,-3.273004805291521,2.7344125227030887,0.020422456745594307,2.318494588105605
17,4.094261510913677,7.362815062567018,-3.26855355165344,2.865721808842956,0.021706104983932877,2.295471725402764
18,3.881765548296309,7.277853645799363,-3.396088097503025,1.9352024232983496,0.011829067398036392,2.517202936575399
19,3.6713470901536964,6.843165927574278,-3.17181883742046,2.274772769795291,0.01800848088266826,2.3654437054770687
20,4.39846885313734,7.642460722447803,-3.243991869310321,3.38238354510586,0.02706951913322671,2.210513867998023
21,4.608127423364815,7.78513194685897,-3.1770045234941335,3.4881777354962438,0.02976830682282333,2.1731596058530656
22,4.036456715053257,7.322295597822292,-3.285838882768985,2.350276621337315,0.016773667795314424,2.3916316352894906
23,4.178793736477312,7.447465923048471,-3.268672186571166,3.4664341987730865,0.02727159719714154,2.207608197680222
24,3.888084423558277,7.189690474345591,-3.3016060507873135,2.6630945960110957,0.019252671646485513,2.3406021352213378
25,3.976670988970065,7.159270819399923,-3.182599830429808,2.5043099865206564,0.020002475521168392,2.326301435232396
26,4.3398484199554535,7.776926584747267,-3.4370781647917283,2.9723853612522824,0.019441587022776697,2.3369537891158223
27,4.176573847596112,7.573675887981979,-3.3971020403860166,3.046327888644889,0.020788627873891203,2.311801442958973
28,3.877810456919016,7.217767156714055,-3.3399566997950387,2.259534720855573,0.015161803413219876,2.4284909522320084
