,logR,logI,logS,d_G,p,sigma
labels,$\ln\mathcal{R}$,$\log\mathcal{I}$,$\ln\mathcal{S}$,$d_\mathrm{G}$,$p$,$\sigma$
samples,,,,,,
0,3.973614851977874,7.553299772530917,-3.579684920553291,3.086347460357164,0.017895374444958284,2.3677758430139186
1,3.1579557691580535,6.563808273565254,-3.405852504407221,1.8662895551501784,0.0111946378966686,2.5365636857146665
2,3.1455618976352357,6.867388974914515,-3.7218270772793858,1.7728605871967318,0.007603238267815387,2.6691990220012145
3,3.2166983470991286,6.70353075603553,-3.4868324089363796,2.3691935139196296,0.013949381196613965,2.458564254666005
4,3.552207618837048,6.982737024089236,-3.430529405252173,2.944755051539122,0.019332728133245932,2.3390522765105084
5,3.304449749962561,6.801164268778077,-3.496714518815452,1.6065166095817816,0.008450633521121546,2.6335140664862413
6,3.7151974719571004,7.212921841674774,-3.4977243697178437,2.3526499007698085,0.013681120316012546,2.46552872983098
7,3.2792393052028106,6.933036307491985,-3.6537970022891386,2.6284000466615396,0.013583639715785618,2.4680893808444426
8,3.2648826082698466,6.743367262958589,-3.4784846546888275,1.9591535269206766,0.011058449402370695,2.540846384868134
9,3.5813812948043338,7.248446979040917,-3.6670656842366043,1.77804737090851,0.008070841781421109,2.649091748035707
10,3.0813735430914053,6.935118916540514,-3.853745373449101,1.7571250318703804,0.006567597569858395,2.7180093827003526
11,3.6280840621912662,7.381234076185084,-3.7531500139939453,2.6225665752557745,0.012327723426951152,2.5026216992894335
12,3.8560200351181098,7.352129991816643,-3.4961099566985467,2.9452993234261733,0.01820573747355341,2.361407003419647
13,3.253527107462634,6.7638588125113195,-3.510331705048884,1.4446290844590344,0.007290601783008656,2.683270395262577
14,3.5122445040552353,7.193510256433047,-3.681265752378067,2.5874224009211844,0.01296639098412164,2.484691053639146
15,3.494944884964372,6.925562533287707,-3.4306176483232775,2.704233605863916,0.01738206800112678,2.3785247923523927
16,2.887109396889247,6.475280443026069,-3.5881710461364946,1.8088747970827832,0.008942208326615247,2.6142557072435433
17,3.199949681408117,6.824570826434577,-3.6246211450263672,2.5054837404717603,0.013125259850087499,2.480352382189103
18,3.2105949133668505,6.708383080265346,-3.4977881668985447,2.328132930020036,0.013499689901921774,2.4703076446995462
19,2.802898550163792,6.499599230837237,-3.69670068067353,1.334098815464646,0.005411302792737957,2.7814718226934705
20,3.3823386894292358,6.835786638487061,-3.453447949057818,3.0250315165748916,0.01957632753976371,2.3343705487902042
21,3.453916844397401,6.927917716290533,-3.4740008718931676,2.0743783098637785,0.011939903530184277,2.5139155082380484
22,3.546232412697765,7.173381549948818,-3.627149137251081,1.6817230200856024,0.007826145771235393,2.6594796498789957
23,3.5707733352422397,7.0409245981770106,-3.4701512629349054,2.4818478373551542,0.01503222082756282,2.431601862180294
24,3.455661053743444,7.207824193422059,-3.7521631396787143,1.4948808690433566,0.005905660359108031,2.7529739035517444
25,2.8340787850562097,6.466994639879008,-3.6329158548228406,2.361267254963714,0.012058857417354532,2.510417270756058
26,3.213879086795561,6.8345091782701,-3.6206300914745952,1.2724133910250224,0.00552795198895207,2.7745418578340475
27,3.746819136388314,7.3795081282921835,-3.632688991903933,2.0577722077472735,0.010093417479053438,2.572612402089045
28,3.751314403451562,7.321873357221104,-3.570558953769705,2.144245244925898,0.011318836396464561,2.5326981867248435
