,,theta0,theta1,logL,logL_birth,nlive
labels,,$\theta_0$,$\theta_1$,$\ln\mathcal{L}$,$\ln\mathcal{L}_\mathrm{birth}$,$n_\mathrm{live}$
,weights,,,,,
0,0.0,3.9472803506083576,-5.943654285689435,-1043.4876339914701,-inf,125
1,0.0,2.570895594589338,5.986164078814397,-988.8236977949778,-inf,125
2,0.0,1.0381552177209983,-5.758709445750077,-985.7803796962751,-inf,125
3,0.0,5.70625806003463,4.269640108711332,-954.0726195571142,-inf,125
4,0.0,0.21840856716795898,-5.692047383345621,-933.3065138952153,-inf,125
5,0.0,2.452972823082394,-5.617932845624306,-842.142056020991,-inf,125
6,0.0,5.860486056710714,-4.775462271023663,-814.2337702760956,-inf,125
7,0.0,5.7434201067931685,3.589902770600684,-789.447557341136,-inf,125
8,0.0,2.8711629527796205,-5.529746492948152,-768.2239235797226,-inf,125
9,2.4456e-320,0.25243927444955183,-5.3479441399289565,-742.7270139315393,-inf,125
10,2.0052497151531654e-307,2.822328265471139,5.546262541409259,-712.983975936161,-inf,125
11,6.930134681087414e-299,-5.757379230716092,3.9914381465752555,-693.3152163742604,-inf,125
12,2.2193407870831008e-293,-5.774522394763738,1.4116259649105247,-680.6304066851277,-inf,125
13,2.9149245768153e-281,2.371574351127178,-5.277294340448762,-652.7187836632777,-inf,125
14,1.3128435112186037e-277,-5.752188006411256,3.1005438460336983,-644.2981236628838,-inf,125
15,1.7751067107166731e-248,4.844636876951201,-4.998930774695777,-577.2135226606467,-985.7803796962751,125
16,3.703873511043183e-245,-5.859430989779977,-1.6802632262596333,-569.562280584935,-inf,125
17,4.2843164143501886e-245,-1.113800433288004,-5.169996054538343,-569.4087305727834,-inf,125
18,3.028226072745256e-237,5.296532456477983,3.5904310482287,-551.3270656750624,-693.3152163742604,125
19,5.3465341846333005e-232,0.27897664160039604,-4.8727138708987,-539.2377004989512,-inf,125
20,1.4859272974596238e-229,-3.600041701243199,-5.777738466472632,-533.6023865652428,-inf,125
21,2.171189351455891e-227,5.721133058284046,1.2581462369405516,-528.6100121240753,-inf,125
22,1.1351590756190892e-222,5.8840673687604514,-3.3972361872183128,-517.7376207992481,-inf,125
23,6.921483301693577e-212,5.781952677819039,-0.25955631552014324,-492.895944398886,-577.2135226606467,125
24,2.899767854629532e-204,-1.9420925779578528,5.538841854497981,-475.3372948982396,-742.7270139315393,125
25,1.0929264752543473e-203,-4.797277352252387,5.033791364936082,-474.0025133810768,-inf,125
26,3.6992166817881815e-202,-5.703855259304025,-5.1930044224410175,-470.47269796700147,-inf,125
27,7.989643282576423e-198,5.368447085867091,2.770269681241894,-460.4843644016915,-inf,125
28,9.515311664455505e-196,-4.279760551091443,5.336027004595007,-455.69646990407307,-inf,125
29,1.0617928310268474e-195,5.717513580160748,-0.3761855802275811,-455.5788600672802,-inf,125
30,7.237098497685858e-192,-5.769681620287997,-2.381102199905408,-446.7438750819927,-inf,125
31,2.0828054587510918e-190,0.9113579466741513,5.151554370914569,-443.37624132926453,-inf,125
32,1.5346956876224992e-184,5.473003616678687,1.7278823907556493,-429.8581462525464,-inf,125
33,3.755496540443522e-183,-3.7723686683285735,5.433499883663334,-426.65270459123633,-inf,125
34,1.0574798894249584e-181,0.8165347331271882,5.107159659511932,-423.30689813188,-inf,125
35,2.2639163908444851e-181,4.055338889985647,-4.846819105272443,-422.53772234707606,-inf,125
36,1.296734335814649e-176,-5.232536806548227,-0.17246884878452562,-411.5740758876725,-768.2239235797226,125
37,5.457058508253835e-176,3.8519187581752217,-4.834784690483264,-410.12904686279245,-inf,125
38,1.6436652202670184e-175,-2.002258175656297,-5.026783320144039,-409.01847487139435,-517.7376207992481,125
39,3.7756829808243136e-173,-5.303650076113493,-0.7870004933025507,-403.57368386593777,-inf,125
40,6.592068334739076e-171,-3.3230204083125803,5.43298813820382,-398.4032596398427,-inf,125
41,1.4036380604646941e-170,0.2085492858493705,-4.415182723858161,-397.63950605538867,-inf,125
42,7.683634868334119e-170,-5.230230043814588,2.3096654324402373,-395.93151264107655,-inf,125
43,8.45346893181573e-168,5.324976942175489,2.181843589241801,-391.22289012917787,-inf,125
44,5.816186655265031e-165,-3.765683929435966,5.332468679807203,-384.6810987290238,-inf,125
45,4.4208044574031814e-162,-3.219580482345546,5.391825868988178,-378.03969843005115,-712.983975936161,125
46,3.3089917771391074e-161,-1.7326471458005326,5.285183343033756,-376.01882330693655,-1043.4876339914701,125
47,1.1153668930015187e-150,4.366267271078776,-4.589617728455603,-351.7698792554849,-inf,125
48,1.298037905558267e-147,5.5639531260123505,-1.398701774090668,-344.7024853887542,-inf,125
49,3.612102469421419e-143,4.878665990654147,3.2885679923836655,-334.4607406637172,-528.6100121240753,125
50,1.856841419567155e-140,1.875955073583281,-4.341804583816634,-328.21043033671117,-inf,125
51,8.867298403767692e-140,-4.8258661860715915,4.346298209060199,-326.6389688766267,-533.6023865652428,125
52,9.219450397083075e-137,5.543236542566749,-2.494229678489414,-319.68430017519114,-933.3065138952153,125
53,5.702640497029404e-134,-1.855779831637168,5.13697552158709,-313.24896283982224,-inf,125
54,3.5964148940154176e-132,-4.410148382904204,-5.358873818558097,-309.0968163103657,-475.3372948982396,125
55,3.2969455016305896e-131,5.210567975097526,1.3675914715907513,-306.87320409994163,-inf,125
56,2.362961572550422e-126,0.4389505333046664,4.760055516484105,-295.6853911636637,-inf,125
57,5.678139267953374e-119,3.3378810113982063,4.4401457789618295,-278.682619493591,-inf,125
58,6.239431883657784e-117,-1.5769847264445893,-4.357196739772813,-273.97521558939513,-569.4087305727834,125
59,4.183896140051284e-116,-5.335508154945625,-2.38081638622869,-272.0643085573718,-443.37624132926453,125
60,9.56360478964005e-115,0.7850557423021076,-3.8006419654310566,-268.9270334720233,-inf,125
61,5.376302671659849e-113,-5.147567301625356,-4.9544484035815115,-264.8898589402544,-inf,125
62,3.67227771893648e-102,-5.045735008958931,-4.924763589136735,-239.93464354842172,-470.47269796700147,125
63,9.92829812263164e-102,-0.7489534648476894,4.701276009384957,-238.9320984042699,-inf,125
64,1.601256290636917e-101,-0.7696208968124783,4.703080260188065,-238.4461457147463,-inf,125
65,1.841243006503601e-99,1.565375242401494,4.491455599499364,-233.69335497135447,-680.6304066851277,125
66,1.6268673192997542e-97,-4.6141884343350235,1.4217631141529745,-229.2040012306535,-239.93464354842172,125
67,2.8634310313168494e-97,1.5477821230937847,4.471807865368744,-228.63066876950984,-inf,125
68,5.369753515854734e-97,4.848532714811492,2.2803002422947287,-227.99393915971933,-344.7024853887542,125
69,5.948393307790884e-96,-3.754429298989863,4.847807459138844,-225.58104675354195,-384.6810987290238,125
70,9.675042059323656e-96,2.664667193644174,4.39658791114355,-225.08665014855768,-inf,125
71,3.054866869717453e-95,-2.446317629734261,-4.575267372549071,-223.92891045819763,-inf,125
72,4.3782632722824284e-95,3.246968982033316,-4.2366402551955,-223.5610261698099,-474.0025133810768,125
73,3.0730018324695833e-94,-1.8331977848133647,-4.222309668622019,-221.60447016028428,-644.2981236628838,125
74,6.527440833657412e-94,0.13582779055747274,-3.308195652303129,-220.84314191271199,-539.2377004989512,125
75,4.911056550682632e-93,-4.514160205806702,4.176098751866814,-218.81711450535676,-inf,125
76,2.0721866897467165e-90,-4.580706889572801,1.6790522559302854,-212.76427573725417,-inf,125
77,1.5864686012309392e-86,-3.110054641014638,-4.796472692814026,-203.8130610765701,-842.142056020991,125
78,1.597575815597908e-85,-2.606316449083085,-4.557641265441973,-201.49553098950642,-inf,125
79,2.6359532139914117e-85,-1.4669779284902287,-3.8447558692843824,-200.98680531728633,-inf,125
80,9.144191706699427e-84,-3.0069595073225854,-4.7291261414132135,-197.43237803068834,-223.5610261698099,125
81,1.022805665514489e-83,-0.40427072572432454,-3.066892895980767,-197.31239415597764,-inf,125
82,3.2815530463392763e-82,-4.424528058320927,1.2494136482505844,-193.83607359690149,-200.98680531728633,125
83,1.211476124658571e-81,-4.206620344104075,4.4175126884185705,-192.5219975805074,-inf,125
84,4.891288878305731e-81,0.9267430632500115,-3.1452861435058965,-191.118413121629,-inf,125
85,6.164344951677789e-78,-1.221347253406897,-3.4818750122985342,-183.97136363784864,-inf,125
86,2.543339927225085e-77,3.7862858252228264,-4.087026438612529,-182.54611410416442,-309.0968163103657,125
87,1.1500643658530238e-76,2.7598867490886967,-3.940443872862714,-181.0292210796482,-inf,125
